activity_id,activity_type,activity_date,status,subject,notes_summary,next_action,next_action_date,sentiment
ACT00100,MEETING,2026-06-24,COMPLETED,Quarterly Portfolio Review,Met with the household to walk through quarterly Portfolio Review. Reviewed allocation versus plan targets and agreed on next steps.,Send meeting recap,2026-07-08,POSITIVE
ACT00101,CALL,2026-06-11,COMPLETED,Tax-Loss Harvesting Discussion,Spoke with the client regarding tax-Loss Harvesting Discussion. Addressed outstanding questions and confirmed follow-up items.,Schedule follow-up call,2026-07-09,NEUTRAL
ACT00102,EMAIL,2026-05-29,COMPLETED,Proposal Documents Sent,Delivered materials for proposal Documents Sent. Flagged key figures and invited questions before the next review.,Send meeting recap,2026-07-10,POSITIVE
ACT00103,REVIEW,2026-05-16,COMPLETED,Financial Plan Progress Review,Completed financial Plan Progress Review. Documented findings and updated the client file with current risk and objectives.,Send requested documents,2026-07-11,NEUTRAL
ACT00104,FOLLOW_UP,2026-05-03,OPEN,Beneficiary Update Follow-Up,Followed up on beneficiary Update Follow-Up. Confirmed remaining paperwork and owners for each open item.,Send requested documents,2026-07-12,NEGATIVE
ACT00200,MEETING,2026-06-17,COMPLETED,Retirement Planning Session,Met with the household to walk through retirement Planning Session. Reviewed allocation versus plan targets and agreed on next steps.,Send meeting recap,2026-07-08,POSITIVE
ACT00201,CALL,2026-06-04,COMPLETED,Tax-Loss Harvesting Discussion,Spoke with the client regarding tax-Loss Harvesting Discussion. Addressed outstanding questions and confirmed follow-up items.,Send requested documents,2026-07-09,NEUTRAL
ACT00202,EMAIL,2026-05-22,COMPLETED,Proposal Documents Sent,Delivered materials for proposal Documents Sent. Flagged key figures and invited questions before the next review.,Book next review,2026-07-10,POSITIVE
ACT00203,REVIEW,2026-05-09,COMPLETED,Concentration Risk Review,Completed concentration Risk Review. Documented findings and updated the client file with current risk and objectives.,Book next review,2026-07-11,NEUTRAL
ACT00204,FOLLOW_UP,2026-04-26,OPEN,Funding Confirmation Follow-Up,Followed up on funding Confirmation Follow-Up. Confirmed remaining paperwork and owners for each open item.,Update financial plan,2026-07-12,NEGATIVE
ACT00300,MEETING,2026-06-10,COMPLETED,Retirement Planning Session,Met with the household to walk through retirement Planning Session. Reviewed allocation versus plan targets and agreed on next steps.,Update financial plan,2026-07-08,POSITIVE
ACT00301,CALL,2026-05-28,COMPLETED,Cash Needs Discussion,Spoke with the client regarding cash Needs Discussion. Addressed outstanding questions and confirmed follow-up items.,Schedule follow-up call,2026-07-09,NEUTRAL
ACT00302,EMAIL,2026-05-15,COMPLETED,Tax Documents Delivered,Delivered materials for tax Documents Delivered. Flagged key figures and invited questions before the next review.,Send requested documents,2026-07-10,POSITIVE
ACT00303,REVIEW,2026-05-02,COMPLETED,Portfolio Risk Alignment Review,Completed portfolio Risk Alignment Review. Documented findings and updated the client file with current risk and objectives.,Book next review,2026-07-11,NEUTRAL
ACT00304,FOLLOW_UP,2026-04-19,OPEN,Funding Confirmation Follow-Up,Followed up on funding Confirmation Follow-Up. Confirmed remaining paperwork and owners for each open item.,Send requested documents,2026-07-12,NEGATIVE
ACT00400,MEETING,2026-06-03,COMPLETED,New Account Onboarding Meeting,Met with the household to walk through new Account Onboarding Meeting. Reviewed allocation versus plan targets and agreed on next steps.,Send meeting recap,2026-07-08,POSITIVE
ACT00401,CALL,2026-05-21,COMPLETED,RMD Planning Call,Spoke with the client regarding rMD Planning Call. Addressed outstanding questions and confirmed follow-up items.,Send meeting recap,2026-07-09,NEUTRAL
ACT00402,EMAIL,2026-05-08,COMPLETED,Meeting Recap & Next Steps,Delivered materials for meeting Recap & Next Steps. Flagged key figures and invited questions before the next review.,Schedule follow-up call,2026-07-10,POSITIVE
ACT00403,REVIEW,2026-04-25,COMPLETED,Annual Suitability Review,Completed annual Suitability Review. Documented findings and updated the client file with current risk and objectives.,Send meeting recap,2026-07-11,NEUTRAL
ACT00404,FOLLOW_UP,2026-04-12,OPEN,Referral Introduction Follow-Up,Followed up on referral Introduction Follow-Up. Confirmed remaining paperwork and owners for each open item.,Prepare updated proposal,2026-07-12,NEGATIVE
ACT00500,MEETING,2026-05-27,COMPLETED,New Account Onboarding Meeting,Met with the household to walk through new Account Onboarding Meeting. Reviewed allocation versus plan targets and agreed on next steps.,Schedule follow-up call,2026-07-08,POSITIVE
ACT00501,CALL,2026-05-14,COMPLETED,Proposal Follow-Up Call,Spoke with the client regarding proposal Follow-Up Call. Addressed outstanding questions and confirmed follow-up items.,Send requested documents,2026-07-09,NEUTRAL
ACT00502,EMAIL,2026-05-01,COMPLETED,Market Commentary Shared,Delivered materials for market Commentary Shared. Flagged key figures and invited questions before the next review.,Schedule follow-up call,2026-07-10,POSITIVE
ACT00503,REVIEW,2026-04-18,COMPLETED,Fee & Service Review,Completed fee & Service Review. Documented findings and updated the client file with current risk and objectives.,Send requested documents,2026-07-11,NEUTRAL
ACT00504,FOLLOW_UP,2026-04-05,OPEN,Beneficiary Update Follow-Up,Followed up on beneficiary Update Follow-Up. Confirmed remaining paperwork and owners for each open item.,Send meeting recap,2026-07-12,NEGATIVE
ACT00600,MEETING,2026-05-20,COMPLETED,New Account Onboarding Meeting,Met with the household to walk through new Account Onboarding Meeting. Reviewed allocation versus plan targets and agreed on next steps.,Update financial plan,2026-07-08,POSITIVE
ACT00601,CALL,2026-05-07,COMPLETED,RMD Planning Call,Spoke with the client regarding rMD Planning Call. Addressed outstanding questions and confirmed follow-up items.,Update financial plan,2026-07-09,NEUTRAL
ACT00602,EMAIL,2026-04-24,COMPLETED,Tax Documents Delivered,Delivered materials for tax Documents Delivered. Flagged key figures and invited questions before the next review.,Schedule follow-up call,2026-07-10,POSITIVE
ACT00603,REVIEW,2026-04-11,COMPLETED,Financial Plan Progress Review,Completed financial Plan Progress Review. Documented findings and updated the client file with current risk and objectives.,Update financial plan,2026-07-11,NEUTRAL
ACT00604,FOLLOW_UP,2026-03-29,OPEN,Referral Introduction Follow-Up,Followed up on referral Introduction Follow-Up. Confirmed remaining paperwork and owners for each open item.,Send requested documents,2026-07-12,NEGATIVE
ACT00700,MEETING,2026-05-13,COMPLETED,Retirement Planning Session,Met with the household to walk through retirement Planning Session. Reviewed allocation versus plan targets and agreed on next steps.,Update financial plan,2026-07-08,POSITIVE
ACT00701,CALL,2026-04-30,COMPLETED,Tax-Loss Harvesting Discussion,Spoke with the client regarding tax-Loss Harvesting Discussion. Addressed outstanding questions and confirmed follow-up items.,Book next review,2026-07-09,NEUTRAL
ACT00702,EMAIL,2026-04-17,COMPLETED,Market Commentary Shared,Delivered materials for market Commentary Shared. Flagged key figures and invited questions before the next review.,Prepare updated proposal,2026-07-10,POSITIVE
ACT00703,REVIEW,2026-04-04,COMPLETED,Fee & Service Review,Completed fee & Service Review. Documented findings and updated the client file with current risk and objectives.,Send meeting recap,2026-07-11,NEUTRAL
ACT00704,FOLLOW_UP,2026-03-22,OPEN,Post-Review Action Items,Followed up on post-Review Action Items. Confirmed remaining paperwork and owners for each open item.,Send requested documents,2026-07-12,NEGATIVE
ACT00800,MEETING,2026-05-06,COMPLETED,Retirement Planning Session,Met with the household to walk through retirement Planning Session. Reviewed allocation versus plan targets and agreed on next steps.,Send requested documents,2026-07-08,POSITIVE
ACT00801,CALL,2026-04-23,COMPLETED,Proposal Follow-Up Call,Spoke with the client regarding proposal Follow-Up Call. Addressed outstanding questions and confirmed follow-up items.,Send requested documents,2026-07-09,NEUTRAL
ACT00802,EMAIL,2026-04-10,COMPLETED,Tax Documents Delivered,Delivered materials for tax Documents Delivered. Flagged key figures and invited questions before the next review.,Prepare updated proposal,2026-07-10,POSITIVE
ACT00803,REVIEW,2026-03-28,COMPLETED,Concentration Risk Review,Completed concentration Risk Review. Documented findings and updated the client file with current risk and objectives.,Update financial plan,2026-07-11,NEUTRAL
ACT00804,FOLLOW_UP,2026-03-15,OPEN,Post-Review Action Items,Followed up on post-Review Action Items. Confirmed remaining paperwork and owners for each open item.,Update financial plan,2026-07-12,NEGATIVE
ACT00900,MEETING,2026-04-29,COMPLETED,Quarterly Portfolio Review,Met with the household to walk through quarterly Portfolio Review. Reviewed allocation versus plan targets and agreed on next steps.,Schedule follow-up call,2026-07-08,POSITIVE
ACT00901,CALL,2026-04-16,COMPLETED,Cash Needs Discussion,Spoke with the client regarding cash Needs Discussion. Addressed outstanding questions and confirmed follow-up items.,Schedule follow-up call,2026-07-09,NEUTRAL
ACT00902,EMAIL,2026-04-03,COMPLETED,Market Commentary Shared,Delivered materials for market Commentary Shared. Flagged key figures and invited questions before the next review.,Book next review,2026-07-10,POSITIVE
ACT00903,REVIEW,2026-03-21,COMPLETED,Financial Plan Progress Review,Completed financial Plan Progress Review. Documented findings and updated the client file with current risk and objectives.,Book next review,2026-07-11,NEUTRAL
ACT00904,FOLLOW_UP,2026-03-08,OPEN,Referral Introduction Follow-Up,Followed up on referral Introduction Follow-Up. Confirmed remaining paperwork and owners for each open item.,Schedule follow-up call,2026-07-12,NEGATIVE
ACT01000,MEETING,2026-04-22,COMPLETED,Retirement Planning Session,Met with the household to walk through retirement Planning Session. Reviewed allocation versus plan targets and agreed on next steps.,Update financial plan,2026-07-08,POSITIVE
ACT01001,CALL,2026-04-09,COMPLETED,RMD Planning Call,Spoke with the client regarding rMD Planning Call. Addressed outstanding questions and confirmed follow-up items.,Book next review,2026-07-09,NEUTRAL
ACT01002,EMAIL,2026-03-27,COMPLETED,Market Commentary Shared,Delivered materials for market Commentary Shared. Flagged key figures and invited questions before the next review.,Send requested documents,2026-07-10,POSITIVE
ACT01003,REVIEW,2026-03-14,COMPLETED,Annual Suitability Review,Completed annual Suitability Review. Documented findings and updated the client file with current risk and objectives.,Send requested documents,2026-07-11,NEUTRAL
ACT01004,FOLLOW_UP,2026-06-29,OPEN,Beneficiary Update Follow-Up,Followed up on beneficiary Update Follow-Up. Confirmed remaining paperwork and owners for each open item.,Prepare updated proposal,2026-07-12,NEGATIVE
ACT01100,MEETING,2026-04-15,COMPLETED,New Account Onboarding Meeting,Met with the household to walk through new Account Onboarding Meeting. Reviewed allocation versus plan targets and agreed on next steps.,Book next review,2026-07-08,POSITIVE
ACT01101,CALL,2026-04-02,COMPLETED,Proposal Follow-Up Call,Spoke with the client regarding proposal Follow-Up Call. Addressed outstanding questions and confirmed follow-up items.,Update financial plan,2026-07-09,NEUTRAL
ACT01102,EMAIL,2026-03-20,COMPLETED,Market Commentary Shared,Delivered materials for market Commentary Shared. Flagged key figures and invited questions before the next review.,Send meeting recap,2026-07-10,POSITIVE
ACT01103,REVIEW,2026-03-07,COMPLETED,Concentration Risk Review,Completed concentration Risk Review. Documented findings and updated the client file with current risk and objectives.,Prepare updated proposal,2026-07-11,NEUTRAL
ACT01104,FOLLOW_UP,2026-06-22,OPEN,Post-Review Action Items,Followed up on post-Review Action Items. Confirmed remaining paperwork and owners for each open item.,Book next review,2026-07-12,NEGATIVE
ACT01200,MEETING,2026-04-08,COMPLETED,Estate Planning Discussion,Met with the household to walk through estate Planning Discussion. Reviewed allocation versus plan targets and agreed on next steps.,Schedule follow-up call,2026-07-08,POSITIVE
ACT01201,CALL,2026-03-26,COMPLETED,Proposal Follow-Up Call,Spoke with the client regarding proposal Follow-Up Call. Addressed outstanding questions and confirmed follow-up items.,Send requested documents,2026-07-09,NEUTRAL
ACT01202,EMAIL,2026-03-13,COMPLETED,Market Commentary Shared,Delivered materials for market Commentary Shared. Flagged key figures and invited questions before the next review.,Prepare updated proposal,2026-07-10,POSITIVE
ACT01203,REVIEW,2026-06-28,COMPLETED,Annual Suitability Review,Completed annual Suitability Review. Documented findings and updated the client file with current risk and objectives.,Update financial plan,2026-07-11,NEUTRAL
ACT01204,FOLLOW_UP,2026-06-15,OPEN,Rollover Paperwork Follow-Up,Followed up on rollover Paperwork Follow-Up. Confirmed remaining paperwork and owners for each open item.,Prepare updated proposal,2026-07-12,NEGATIVE
ACT01300,MEETING,2026-04-01,COMPLETED,New Account Onboarding Meeting,Met with the household to walk through new Account Onboarding Meeting. Reviewed allocation versus plan targets and agreed on next steps.,Schedule follow-up call,2026-07-08,POSITIVE
ACT01301,CALL,2026-03-19,COMPLETED,Proposal Follow-Up Call,Spoke with the client regarding proposal Follow-Up Call. Addressed outstanding questions and confirmed follow-up items.,Prepare updated proposal,2026-07-09,NEUTRAL
ACT01302,EMAIL,2026-03-06,COMPLETED,Meeting Recap & Next Steps,Delivered materials for meeting Recap & Next Steps. Flagged key figures and invited questions before the next review.,Send meeting recap,2026-07-10,POSITIVE
ACT01303,REVIEW,2026-06-21,COMPLETED,Portfolio Risk Alignment Review,Completed portfolio Risk Alignment Review. Documented findings and updated the client file with current risk and objectives.,Schedule follow-up call,2026-07-11,NEUTRAL
ACT01304,FOLLOW_UP,2026-06-08,OPEN,Funding Confirmation Follow-Up,Followed up on funding Confirmation Follow-Up. Confirmed remaining paperwork and owners for each open item.,Book next review,2026-07-12,NEGATIVE
ACT01400,MEETING,2026-03-25,COMPLETED,New Account Onboarding Meeting,Met with the household to walk through new Account Onboarding Meeting. Reviewed allocation versus plan targets and agreed on next steps.,Schedule follow-up call,2026-07-08,POSITIVE
ACT01401,CALL,2026-03-12,COMPLETED,Proposal Follow-Up Call,Spoke with the client regarding proposal Follow-Up Call. Addressed outstanding questions and confirmed follow-up items.,Prepare updated proposal,2026-07-09,NEUTRAL
ACT01402,EMAIL,2026-06-27,COMPLETED,Tax Documents Delivered,Delivered materials for tax Documents Delivered. Flagged key figures and invited questions before the next review.,Send meeting recap,2026-07-10,POSITIVE
ACT01403,REVIEW,2026-06-14,COMPLETED,Annual Suitability Review,Completed annual Suitability Review. Documented findings and updated the client file with current risk and objectives.,Book next review,2026-07-11,NEUTRAL
ACT01404,FOLLOW_UP,2026-06-01,OPEN,Referral Introduction Follow-Up,Followed up on referral Introduction Follow-Up. Confirmed remaining paperwork and owners for each open item.,Schedule follow-up call,2026-07-12,NEGATIVE
ACT01500,MEETING,2026-03-18,COMPLETED,Annual Financial Plan Review,Met with the household to walk through annual Financial Plan Review. Reviewed allocation versus plan targets and agreed on next steps.,Send requested documents,2026-07-08,POSITIVE
ACT01501,CALL,2026-03-05,COMPLETED,Proposal Follow-Up Call,Spoke with the client regarding proposal Follow-Up Call. Addressed outstanding questions and confirmed follow-up items.,Send requested documents,2026-07-09,NEUTRAL
ACT01502,EMAIL,2026-06-20,COMPLETED,Market Commentary Shared,Delivered materials for market Commentary Shared. Flagged key figures and invited questions before the next review.,Book next review,2026-07-10,POSITIVE
ACT01503,REVIEW,2026-06-07,COMPLETED,Financial Plan Progress Review,Completed financial Plan Progress Review. Documented findings and updated the client file with current risk and objectives.,Update financial plan,2026-07-11,NEUTRAL
ACT01504,FOLLOW_UP,2026-05-25,OPEN,Beneficiary Update Follow-Up,Followed up on beneficiary Update Follow-Up. Confirmed remaining paperwork and owners for each open item.,Send requested documents,2026-07-12,NEGATIVE
ACT01600,MEETING,2026-03-11,COMPLETED,New Account Onboarding Meeting,Met with the household to walk through new Account Onboarding Meeting. Reviewed allocation versus plan targets and agreed on next steps.,Prepare updated proposal,2026-07-08,POSITIVE
ACT01601,CALL,2026-06-26,COMPLETED,Market Volatility Check-In,Spoke with the client regarding market Volatility Check-In. Addressed outstanding questions and confirmed follow-up items.,Send meeting recap,2026-07-09,NEUTRAL
ACT01602,EMAIL,2026-06-13,COMPLETED,Meeting Recap & Next Steps,Delivered materials for meeting Recap & Next Steps. Flagged key figures and invited questions before the next review.,Prepare updated proposal,2026-07-10,POSITIVE
ACT01603,REVIEW,2026-05-31,COMPLETED,Financial Plan Progress Review,Completed financial Plan Progress Review. Documented findings and updated the client file with current risk and objectives.,Prepare updated proposal,2026-07-11,NEUTRAL
ACT01604,FOLLOW_UP,2026-05-18,OPEN,Funding Confirmation Follow-Up,Followed up on funding Confirmation Follow-Up. Confirmed remaining paperwork and owners for each open item.,Book next review,2026-07-12,NEGATIVE
ACT01700,MEETING,2026-03-04,COMPLETED,Estate Planning Discussion,Met with the household to walk through estate Planning Discussion. Reviewed allocation versus plan targets and agreed on next steps.,Send requested documents,2026-07-08,POSITIVE
ACT01701,CALL,2026-06-19,COMPLETED,Proposal Follow-Up Call,Spoke with the client regarding proposal Follow-Up Call. Addressed outstanding questions and confirmed follow-up items.,Update financial plan,2026-07-09,NEUTRAL
ACT01702,EMAIL,2026-06-06,COMPLETED,Market Commentary Shared,Delivered materials for market Commentary Shared. Flagged key figures and invited questions before the next review.,Send meeting recap,2026-07-10,POSITIVE
ACT01703,REVIEW,2026-05-24,COMPLETED,Concentration Risk Review,Completed concentration Risk Review. Documented findings and updated the client file with current risk and objectives.,Send requested documents,2026-07-11,NEUTRAL
ACT01704,FOLLOW_UP,2026-05-11,OPEN,Rollover Paperwork Follow-Up,Followed up on rollover Paperwork Follow-Up. Confirmed remaining paperwork and owners for each open item.,Update financial plan,2026-07-12,NEGATIVE
ACT01800,MEETING,2026-06-25,COMPLETED,Estate Planning Discussion,Met with the household to walk through estate Planning Discussion. Reviewed allocation versus plan targets and agreed on next steps.,Update financial plan,2026-07-08,POSITIVE
ACT01801,CALL,2026-06-12,COMPLETED,RMD Planning Call,Spoke with the client regarding rMD Planning Call. Addressed outstanding questions and confirmed follow-up items.,Update financial plan,2026-07-09,NEUTRAL
ACT01802,EMAIL,2026-05-30,COMPLETED,Tax Documents Delivered,Delivered materials for tax Documents Delivered. Flagged key figures and invited questions before the next review.,Book next review,2026-07-10,POSITIVE
ACT01803,REVIEW,2026-05-17,COMPLETED,Concentration Risk Review,Completed concentration Risk Review. Documented findings and updated the client file with current risk and objectives.,Send requested documents,2026-07-11,NEUTRAL
ACT01804,FOLLOW_UP,2026-05-04,OPEN,Beneficiary Update Follow-Up,Followed up on beneficiary Update Follow-Up. Confirmed remaining paperwork and owners for each open item.,Update financial plan,2026-07-12,NEGATIVE
ACT01900,MEETING,2026-06-18,COMPLETED,Estate Planning Discussion,Met with the household to walk through estate Planning Discussion. Reviewed allocation versus plan targets and agreed on next steps.,Book next review,2026-07-08,POSITIVE
ACT01901,CALL,2026-06-05,COMPLETED,Proposal Follow-Up Call,Spoke with the client regarding proposal Follow-Up Call. Addressed outstanding questions and confirmed follow-up items.,Book next review,2026-07-09,NEUTRAL
ACT01902,EMAIL,2026-05-23,COMPLETED,Proposal Documents Sent,Delivered materials for proposal Documents Sent. Flagged key figures and invited questions before the next review.,Send meeting recap,2026-07-10,POSITIVE
ACT01903,REVIEW,2026-05-10,COMPLETED,Fee & Service Review,Completed fee & Service Review. Documented findings and updated the client file with current risk and objectives.,Send meeting recap,2026-07-11,NEUTRAL
ACT01904,FOLLOW_UP,2026-04-27,OPEN,Post-Review Action Items,Followed up on post-Review Action Items. Confirmed remaining paperwork and owners for each open item.,Prepare updated proposal,2026-07-12,NEGATIVE
ACT02000,MEETING,2026-06-11,COMPLETED,Quarterly Portfolio Review,Met with the household to walk through quarterly Portfolio Review. Reviewed allocation versus plan targets and agreed on next steps.,Prepare updated proposal,2026-07-08,POSITIVE
ACT02001,CALL,2026-05-29,COMPLETED,RMD Planning Call,Spoke with the client regarding rMD Planning Call. Addressed outstanding questions and confirmed follow-up items.,Book next review,2026-07-09,NEUTRAL
ACT02002,EMAIL,2026-05-16,COMPLETED,Quarterly Performance Summary Sent,Delivered materials for quarterly Performance Summary Sent. Flagged key figures and invited questions before the next review.,Schedule follow-up call,2026-07-10,POSITIVE
ACT02003,REVIEW,2026-05-03,COMPLETED,Financial Plan Progress Review,Completed financial Plan Progress Review. Documented findings and updated the client file with current risk and objectives.,Send meeting recap,2026-07-11,NEUTRAL
