opportunity_id,opportunity_type,category,target_type,target_id,score,severity,estimated_revenue_impact,impact_summary,status,generated_at
OPP_A001,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A001,90,CRITICAL,60425.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A002,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A002,91,CRITICAL,69070.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A003,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A003,92,CRITICAL,49715.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A004,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A004,93,CRITICAL,58360.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A005,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A005,68.4,ATTENTION,67005.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A006,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A006,40.0,ATTENTION,47650.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A007,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A007,51.6,ATTENTION,56295.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A008,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A008,53.2,ATTENTION,57940.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A009,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A009,64.8,ATTENTION,66585.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A010,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A010,76.4,URGENT,75230.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A011,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A011,48.0,ATTENTION,55875.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A012,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A012,59.6,ATTENTION,64520.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A013,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A013,71.2,URGENT,73165.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A014,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A014,42.8,ATTENTION,53810.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A015,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A015,84.4,URGENT,83455.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A016,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A016,56.0,ATTENTION,64100.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A017,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A017,67.6,ATTENTION,72745.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A018,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A018,79.2,URGENT,81390.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A019,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A019,50.8,ATTENTION,62035.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A020,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A020,46.4,ATTENTION,59480.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A021,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A021,58.0,ATTENTION,68125.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A022,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A022,59.6,ATTENTION,69770.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A023,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A023,71.2,URGENT,78415.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A024,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A024,42.8,ATTENTION,59060.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A025,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A025,38.4,INFO,56505.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A026,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A026,48.2,ATTENTION,63890.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A027,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A027,34.0,INFO,54475.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A028,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A028,43.8,ATTENTION,61860.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A029,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A029,53.6,ATTENTION,69245.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A030,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A030,39.4,INFO,59830.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A031,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A031,49.2,ATTENTION,67215.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A032,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A032,35.0,INFO,57800.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A033,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A033,44.8,ATTENTION,65185.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A034,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A034,54.6,ATTENTION,72570.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A035,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A035,40.4,ATTENTION,63155.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A036,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A036,50.2,ATTENTION,70540.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A037,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A037,60.0,ATTENTION,77925.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A038,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A038,45.8,ATTENTION,68510.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A039,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A039,55.6,ATTENTION,75895.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A040,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A040,25.4,INFO,55280.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A041,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A041,35.2,INFO,62665.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A042,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A042,45.0,ATTENTION,70050.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A043,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A043,30.8,INFO,60635.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A044,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A044,40.6,ATTENTION,68020.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A045,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A045,50.4,ATTENTION,75405.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A046,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A046,36.2,INFO,65990.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A047,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A047,46.0,ATTENTION,73375.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A048,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A048,31.8,INFO,63960.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A049,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A049,41.6,ATTENTION,71345.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A050,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A050,51.4,ATTENTION,78730.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A051,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A051,37.2,INFO,69315.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A052,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A052,47.0,ATTENTION,76700.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A053,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A053,56.8,ATTENTION,84085.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A054,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A054,42.6,ATTENTION,74670.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A055,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A055,52.4,ATTENTION,82055.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A056,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A056,38.2,INFO,72640.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A057,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A057,48.0,ATTENTION,80025.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A058,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A058,57.8,ATTENTION,87410.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A059,ADVISOR_GROWTH,PRODUCT_MIX,ADVISOR,A059,43.6,ATTENTION,77995.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_A060,ADVISOR_GROWTH,CRM_EXECUTION,ADVISOR,A060,37.4,INFO,74180.0,Potential revenue improvement or revenue-at-risk based on current execution gaps.,OPEN,2026-07-01
OPP_HH_H0001,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0001,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0002,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0002,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0003,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0003,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0004,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0004,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0005,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0005,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0006,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0006,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0007,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0007,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0008,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0008,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0009,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0009,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0010,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0010,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0011,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0011,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0012,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0012,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0013,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0013,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0014,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0014,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0015,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0015,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0016,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0016,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0017,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0017,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0018,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0018,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0019,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0019,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0020,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0020,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0021,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0021,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0022,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0022,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0023,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0023,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0024,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0024,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0025,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0025,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0026,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0026,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0027,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0027,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0028,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0028,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0029,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0029,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_HH_H0030,HOUSEHOLD_GROWTH,RELATIONSHIP_GROWTH,HOUSEHOLD,H0030,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00001,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00001,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00002,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00002,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00003,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00003,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00004,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00004,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00005,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00005,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00006,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00006,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00007,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00007,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00008,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00008,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00009,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00009,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00010,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00010,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00011,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00011,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00012,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00012,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00013,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00013,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00014,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00014,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00015,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00015,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00016,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00016,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00017,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00017,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00018,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00018,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00019,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00019,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00020,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00020,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00021,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00021,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00022,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00022,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00023,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00023,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00024,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00024,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00025,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00025,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00026,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00026,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00027,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00027,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00028,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00028,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00029,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00029,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00030,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00030,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
