reasoning_id,artifact_type,artifact_id,reasoning_steps_json,evidence_json,model_name,prompt_version,confidence,created_at
REASON_A001,RECOMMENDATION,REC_A001,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 1.1, ""managed_revenue_ratio"": 0.185, ""pending_lead_count"": 3, ""referral_conversion_rate"": 0.18, ""crm_pipeline_value"": 335000, ""days_since_last_followup"": 9, ""agp_milestone_attainment_pct"": 62, ""peer_gap_pct"": -13.2, ""recommendation_acceptance_rate"": 0.43}, ""prediction_id"": ""PRED_A001"", ""opportunity_id"": ""OPP_A001"", ""memory_id"": ""MEM_A001""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A002,RECOMMENDATION,REC_A002,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 1.0, ""managed_revenue_ratio"": 0.22, ""pending_lead_count"": 6, ""referral_conversion_rate"": 0.24, ""crm_pipeline_value"": 370000, ""days_since_last_followup"": 18, ""agp_milestone_attainment_pct"": 69, ""peer_gap_pct"": -11.0, ""recommendation_acceptance_rate"": 0.51}, ""prediction_id"": ""PRED_A002"", ""opportunity_id"": ""OPP_A002"", ""memory_id"": ""MEM_A002""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A003,RECOMMENDATION,REC_A003,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.9, ""managed_revenue_ratio"": 0.255, ""pending_lead_count"": 1, ""referral_conversion_rate"": 0.3, ""crm_pipeline_value"": 405000, ""days_since_last_followup"": 27, ""agp_milestone_attainment_pct"": 76, ""peer_gap_pct"": -8.8, ""recommendation_acceptance_rate"": 0.59}, ""prediction_id"": ""PRED_A003"", ""opportunity_id"": ""OPP_A003"", ""memory_id"": ""MEM_A003""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A004,RECOMMENDATION,REC_A004,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.8, ""managed_revenue_ratio"": 0.29, ""pending_lead_count"": 4, ""referral_conversion_rate"": 0.36, ""crm_pipeline_value"": 440000, ""days_since_last_followup"": 36, ""agp_milestone_attainment_pct"": 83, ""peer_gap_pct"": -6.6, ""recommendation_acceptance_rate"": 0.67}, ""prediction_id"": ""PRED_A004"", ""opportunity_id"": ""OPP_A004"", ""memory_id"": ""MEM_A004""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A005,RECOMMENDATION,REC_A005,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.7, ""managed_revenue_ratio"": 0.325, ""pending_lead_count"": 7, ""referral_conversion_rate"": 0.42, ""crm_pipeline_value"": 475000, ""days_since_last_followup"": 45, ""agp_milestone_attainment_pct"": 90, ""peer_gap_pct"": -4.4, ""recommendation_acceptance_rate"": 0.75}, ""prediction_id"": ""PRED_A005"", ""opportunity_id"": ""OPP_A005"", ""memory_id"": ""MEM_A005""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A006,RECOMMENDATION,REC_A006,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.6, ""managed_revenue_ratio"": 0.36, ""pending_lead_count"": 2, ""referral_conversion_rate"": 0.48, ""crm_pipeline_value"": 510000, ""days_since_last_followup"": 54, ""agp_milestone_attainment_pct"": 97, ""peer_gap_pct"": -2.2, ""recommendation_acceptance_rate"": 0.35}, ""prediction_id"": ""PRED_A006"", ""opportunity_id"": ""OPP_A006"", ""memory_id"": ""MEM_A006""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A007,RECOMMENDATION,REC_A007,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.5, ""managed_revenue_ratio"": 0.395, ""pending_lead_count"": 5, ""referral_conversion_rate"": 0.54, ""crm_pipeline_value"": 545000, ""days_since_last_followup"": 63, ""agp_milestone_attainment_pct"": 104, ""peer_gap_pct"": 0.0, ""recommendation_acceptance_rate"": 0.43}, ""prediction_id"": ""PRED_A007"", ""opportunity_id"": ""OPP_A007"", ""memory_id"": ""MEM_A007""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A008,RECOMMENDATION,REC_A008,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.4, ""managed_revenue_ratio"": 0.43, ""pending_lead_count"": 0, ""referral_conversion_rate"": 0.12, ""crm_pipeline_value"": 580000, ""days_since_last_followup"": 2, ""agp_milestone_attainment_pct"": 61, ""peer_gap_pct"": 2.2, ""recommendation_acceptance_rate"": 0.51}, ""prediction_id"": ""PRED_A008"", ""opportunity_id"": ""OPP_A008"", ""memory_id"": ""MEM_A008""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A009,RECOMMENDATION,REC_A009,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.3, ""managed_revenue_ratio"": 0.465, ""pending_lead_count"": 3, ""referral_conversion_rate"": 0.18, ""crm_pipeline_value"": 615000, ""days_since_last_followup"": 11, ""agp_milestone_attainment_pct"": 68, ""peer_gap_pct"": 4.4, ""recommendation_acceptance_rate"": 0.59}, ""prediction_id"": ""PRED_A009"", ""opportunity_id"": ""OPP_A009"", ""memory_id"": ""MEM_A009""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A010,RECOMMENDATION,REC_A010,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.2, ""managed_revenue_ratio"": 0.5, ""pending_lead_count"": 6, ""referral_conversion_rate"": 0.24, ""crm_pipeline_value"": 650000, ""days_since_last_followup"": 20, ""agp_milestone_attainment_pct"": 75, ""peer_gap_pct"": 6.6, ""recommendation_acceptance_rate"": 0.67}, ""prediction_id"": ""PRED_A010"", ""opportunity_id"": ""OPP_A010"", ""memory_id"": ""MEM_A010""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A011,RECOMMENDATION,REC_A011,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.1, ""managed_revenue_ratio"": 0.535, ""pending_lead_count"": 1, ""referral_conversion_rate"": 0.3, ""crm_pipeline_value"": 685000, ""days_since_last_followup"": 29, ""agp_milestone_attainment_pct"": 82, ""peer_gap_pct"": 8.8, ""recommendation_acceptance_rate"": 0.75}, ""prediction_id"": ""PRED_A011"", ""opportunity_id"": ""OPP_A011"", ""memory_id"": ""MEM_A011""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A012,RECOMMENDATION,REC_A012,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.0, ""managed_revenue_ratio"": 0.15, ""pending_lead_count"": 4, ""referral_conversion_rate"": 0.36, ""crm_pipeline_value"": 720000, ""days_since_last_followup"": 38, ""agp_milestone_attainment_pct"": 89, ""peer_gap_pct"": 11.0, ""recommendation_acceptance_rate"": 0.35}, ""prediction_id"": ""PRED_A012"", ""opportunity_id"": ""OPP_A012"", ""memory_id"": ""MEM_A012""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A013,RECOMMENDATION,REC_A013,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": -0.1, ""managed_revenue_ratio"": 0.185, ""pending_lead_count"": 7, ""referral_conversion_rate"": 0.42, ""crm_pipeline_value"": 755000, ""days_since_last_followup"": 47, ""agp_milestone_attainment_pct"": 96, ""peer_gap_pct"": 13.2, ""recommendation_acceptance_rate"": 0.43}, ""prediction_id"": ""PRED_A013"", ""opportunity_id"": ""OPP_A013"", ""memory_id"": ""MEM_A013""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A014,RECOMMENDATION,REC_A014,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": -0.2, ""managed_revenue_ratio"": 0.22, ""pending_lead_count"": 2, ""referral_conversion_rate"": 0.48, ""crm_pipeline_value"": 790000, ""days_since_last_followup"": 56, ""agp_milestone_attainment_pct"": 103, ""peer_gap_pct"": 15.4, ""recommendation_acceptance_rate"": 0.51}, ""prediction_id"": ""PRED_A014"", ""opportunity_id"": ""OPP_A014"", ""memory_id"": ""MEM_A014""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A015,RECOMMENDATION,REC_A015,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": -0.3, ""managed_revenue_ratio"": 0.255, ""pending_lead_count"": 5, ""referral_conversion_rate"": 0.54, ""crm_pipeline_value"": 825000, ""days_since_last_followup"": 65, ""agp_milestone_attainment_pct"": 60, ""peer_gap_pct"": -15.4, ""recommendation_acceptance_rate"": 0.59}, ""prediction_id"": ""PRED_A015"", ""opportunity_id"": ""OPP_A015"", ""memory_id"": ""MEM_A015""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A016,RECOMMENDATION,REC_A016,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": -0.4, ""managed_revenue_ratio"": 0.29, ""pending_lead_count"": 0, ""referral_conversion_rate"": 0.12, ""crm_pipeline_value"": 860000, ""days_since_last_followup"": 4, ""agp_milestone_attainment_pct"": 67, ""peer_gap_pct"": -13.2, ""recommendation_acceptance_rate"": 0.67}, ""prediction_id"": ""PRED_A016"", ""opportunity_id"": ""OPP_A016"", ""memory_id"": ""MEM_A016""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A017,RECOMMENDATION,REC_A017,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": -0.5, ""managed_revenue_ratio"": 0.325, ""pending_lead_count"": 3, ""referral_conversion_rate"": 0.18, ""crm_pipeline_value"": 895000, ""days_since_last_followup"": 13, ""agp_milestone_attainment_pct"": 74, ""peer_gap_pct"": -11.0, ""recommendation_acceptance_rate"": 0.75}, ""prediction_id"": ""PRED_A017"", ""opportunity_id"": ""OPP_A017"", ""memory_id"": ""MEM_A017""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A018,RECOMMENDATION,REC_A018,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": -0.6, ""managed_revenue_ratio"": 0.36, ""pending_lead_count"": 6, ""referral_conversion_rate"": 0.24, ""crm_pipeline_value"": 930000, ""days_since_last_followup"": 22, ""agp_milestone_attainment_pct"": 81, ""peer_gap_pct"": -8.8, ""recommendation_acceptance_rate"": 0.35}, ""prediction_id"": ""PRED_A018"", ""opportunity_id"": ""OPP_A018"", ""memory_id"": ""MEM_A018""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A019,RECOMMENDATION,REC_A019,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": -0.7, ""managed_revenue_ratio"": 0.395, ""pending_lead_count"": 1, ""referral_conversion_rate"": 0.3, ""crm_pipeline_value"": 965000, ""days_since_last_followup"": 31, ""agp_milestone_attainment_pct"": 88, ""peer_gap_pct"": -6.6, ""recommendation_acceptance_rate"": 0.43}, ""prediction_id"": ""PRED_A019"", ""opportunity_id"": ""OPP_A019"", ""memory_id"": ""MEM_A019""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A020,RECOMMENDATION,REC_A020,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 1.2, ""managed_revenue_ratio"": 0.43, ""pending_lead_count"": 4, ""referral_conversion_rate"": 0.36, ""crm_pipeline_value"": 1000000, ""days_since_last_followup"": 40, ""agp_milestone_attainment_pct"": 95, ""peer_gap_pct"": -4.4, ""recommendation_acceptance_rate"": 0.51}, ""prediction_id"": ""PRED_A020"", ""opportunity_id"": ""OPP_A020"", ""memory_id"": ""MEM_A020""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A021,RECOMMENDATION,REC_A021,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 1.1, ""managed_revenue_ratio"": 0.465, ""pending_lead_count"": 7, ""referral_conversion_rate"": 0.42, ""crm_pipeline_value"": 1035000, ""days_since_last_followup"": 49, ""agp_milestone_attainment_pct"": 102, ""peer_gap_pct"": -2.2, ""recommendation_acceptance_rate"": 0.59}, ""prediction_id"": ""PRED_A021"", ""opportunity_id"": ""OPP_A021"", ""memory_id"": ""MEM_A021""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A022,RECOMMENDATION,REC_A022,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 1.0, ""managed_revenue_ratio"": 0.5, ""pending_lead_count"": 2, ""referral_conversion_rate"": 0.48, ""crm_pipeline_value"": 1070000, ""days_since_last_followup"": 58, ""agp_milestone_attainment_pct"": 59, ""peer_gap_pct"": 0.0, ""recommendation_acceptance_rate"": 0.67}, ""prediction_id"": ""PRED_A022"", ""opportunity_id"": ""OPP_A022"", ""memory_id"": ""MEM_A022""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A023,RECOMMENDATION,REC_A023,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.9, ""managed_revenue_ratio"": 0.535, ""pending_lead_count"": 5, ""referral_conversion_rate"": 0.54, ""crm_pipeline_value"": 1105000, ""days_since_last_followup"": 67, ""agp_milestone_attainment_pct"": 66, ""peer_gap_pct"": 2.2, ""recommendation_acceptance_rate"": 0.75}, ""prediction_id"": ""PRED_A023"", ""opportunity_id"": ""OPP_A023"", ""memory_id"": ""MEM_A023""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A024,RECOMMENDATION,REC_A024,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.8, ""managed_revenue_ratio"": 0.15, ""pending_lead_count"": 0, ""referral_conversion_rate"": 0.12, ""crm_pipeline_value"": 1140000, ""days_since_last_followup"": 6, ""agp_milestone_attainment_pct"": 73, ""peer_gap_pct"": 4.4, ""recommendation_acceptance_rate"": 0.35}, ""prediction_id"": ""PRED_A024"", ""opportunity_id"": ""OPP_A024"", ""memory_id"": ""MEM_A024""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A025,RECOMMENDATION,REC_A025,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.7, ""managed_revenue_ratio"": 0.185, ""pending_lead_count"": 3, ""referral_conversion_rate"": 0.18, ""crm_pipeline_value"": 1175000, ""days_since_last_followup"": 15, ""agp_milestone_attainment_pct"": 100.0, ""peer_gap_pct"": 6.6, ""recommendation_acceptance_rate"": 0.43}, ""prediction_id"": ""PRED_A025"", ""opportunity_id"": ""OPP_A025"", ""memory_id"": ""MEM_A025""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A026,RECOMMENDATION,REC_A026,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.6, ""managed_revenue_ratio"": 0.22, ""pending_lead_count"": 6, ""referral_conversion_rate"": 0.24, ""crm_pipeline_value"": 1210000, ""days_since_last_followup"": 24, ""agp_milestone_attainment_pct"": 100.0, ""peer_gap_pct"": 8.8, ""recommendation_acceptance_rate"": 0.51}, ""prediction_id"": ""PRED_A026"", ""opportunity_id"": ""OPP_A026"", ""memory_id"": ""MEM_A026""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A027,RECOMMENDATION,REC_A027,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.5, ""managed_revenue_ratio"": 0.255, ""pending_lead_count"": 1, ""referral_conversion_rate"": 0.3, ""crm_pipeline_value"": 1245000, ""days_since_last_followup"": 33, ""agp_milestone_attainment_pct"": 100.0, ""peer_gap_pct"": 11.0, ""recommendation_acceptance_rate"": 0.59}, ""prediction_id"": ""PRED_A027"", ""opportunity_id"": ""OPP_A027"", ""memory_id"": ""MEM_A027""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A028,RECOMMENDATION,REC_A028,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.4, ""managed_revenue_ratio"": 0.29, ""pending_lead_count"": 4, ""referral_conversion_rate"": 0.36, ""crm_pipeline_value"": 1280000, ""days_since_last_followup"": 42, ""agp_milestone_attainment_pct"": 100.0, ""peer_gap_pct"": 13.2, ""recommendation_acceptance_rate"": 0.67}, ""prediction_id"": ""PRED_A028"", ""opportunity_id"": ""OPP_A028"", ""memory_id"": ""MEM_A028""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A029,RECOMMENDATION,REC_A029,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.3, ""managed_revenue_ratio"": 0.325, ""pending_lead_count"": 7, ""referral_conversion_rate"": 0.42, ""crm_pipeline_value"": 1315000, ""days_since_last_followup"": 51, ""agp_milestone_attainment_pct"": 100.0, ""peer_gap_pct"": 15.4, ""recommendation_acceptance_rate"": 0.75}, ""prediction_id"": ""PRED_A029"", ""opportunity_id"": ""OPP_A029"", ""memory_id"": ""MEM_A029""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A030,RECOMMENDATION,REC_A030,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.2, ""managed_revenue_ratio"": 0.36, ""pending_lead_count"": 2, ""referral_conversion_rate"": 0.48, ""crm_pipeline_value"": 1350000, ""days_since_last_followup"": 60, ""agp_milestone_attainment_pct"": 100.0, ""peer_gap_pct"": -15.4, ""recommendation_acceptance_rate"": 0.35}, ""prediction_id"": ""PRED_A030"", ""opportunity_id"": ""OPP_A030"", ""memory_id"": ""MEM_A030""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A031,RECOMMENDATION,REC_A031,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.1, ""managed_revenue_ratio"": 0.395, ""pending_lead_count"": 5, ""referral_conversion_rate"": 0.54, ""crm_pipeline_value"": 1385000, ""days_since_last_followup"": 69, ""agp_milestone_attainment_pct"": 100.0, ""peer_gap_pct"": -13.2, ""recommendation_acceptance_rate"": 0.43}, ""prediction_id"": ""PRED_A031"", ""opportunity_id"": ""OPP_A031"", ""memory_id"": ""MEM_A031""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
REASON_A032,RECOMMENDATION,REC_A032,"[""Resolve persona and scope"", ""Retrieve graph facts"", ""Build feature snapshot"", ""Score prediction"", ""Create opportunity"", ""Select playbook"", ""Generate next best action""]","{""features"": {""revenue_growth_3m"": 0.0, ""managed_revenue_ratio"": 0.43, ""pending_lead_count"": 0, ""referral_conversion_rate"": 0.12, ""crm_pipeline_value"": 1420000, ""days_since_last_followup"": 8, ""agp_milestone_attainment_pct"": 100.0, ""peer_gap_pct"": -11.0, ""recommendation_acceptance_rate"": 0.51}, ""prediction_id"": ""PRED_A032"", ""opportunity_id"": ""OPP_A032"", ""memory_id"": ""MEM_A032""}",rules-plus-llm-narrative,v1.0,0.84,2026-07-01
