feedback_id,feedback_action,feedback_reason,reward_score,created_ts,status,recommendation_id
FDBK00000001,completed,Advisor accepted recommendation.,0.8732,2025-12-31 00:00:00,Active,REC00000001
FDBK00000002,rejected,Completed with positive outcome.,-0.2399,2025-12-31 00:00:00,Active,REC00000003
FDBK00000003,rejected,Not suitable for client.,-0.2256,2025-12-31 00:00:00,Active,REC00000004
FDBK00000004,accepted,Completed with positive outcome.,0.7465,2025-12-31 00:00:00,Active,REC00000005
FDBK00000005,completed,Completed with positive outcome.,0.9299,2025-12-31 00:00:00,Active,REC00000008
FDBK00000006,accepted,Advisor accepted recommendation.,0.6857,2025-12-31 00:00:00,Active,REC00000010
FDBK00000007,accepted,Needs more client context.,0.7972,2025-12-31 00:00:00,Active,REC00000011
FDBK00000008,completed,Advisor accepted recommendation.,0.9895,2025-12-31 00:00:00,Active,REC00000012
FDBK00000009,accepted,Not suitable for client.,0.7907,2025-12-31 00:00:00,Active,REC00000014
FDBK00000010,rejected,Not suitable for client.,-0.2937,2025-12-31 00:00:00,Active,REC00000016
FDBK00000011,completed,Completed with positive outcome.,0.9076,2025-12-31 00:00:00,Active,REC00000017
FDBK00000012,accepted,Not suitable for client.,0.7389,2025-12-31 00:00:00,Active,REC00000018
FDBK00000013,accepted,Not suitable for client.,0.7096,2025-12-31 00:00:00,Active,REC00000019
FDBK00000014,completed,Completed with positive outcome.,1.0086,2025-12-31 00:00:00,Active,REC00000021
FDBK00000015,completed,Needs more client context.,0.9317,2025-12-31 00:00:00,Active,REC00000023
FDBK00000016,accepted,Advisor accepted recommendation.,0.6737,2025-12-31 00:00:00,Active,REC00000024
FDBK00000017,completed,Not suitable for client.,0.9143,2025-12-31 00:00:00,Active,REC00000025
FDBK00000018,accepted,Advisor accepted recommendation.,0.8018,2025-12-31 00:00:00,Active,REC00000026
FDBK00000019,completed,Needs more client context.,1.015,2025-12-31 00:00:00,Active,REC00000027
FDBK00000020,accepted,Needs more client context.,0.759,2025-12-31 00:00:00,Active,REC00000028
FDBK00000021,accepted,Advisor accepted recommendation.,0.825,2025-12-31 00:00:00,Active,REC00000029
FDBK00000022,completed,Needs more client context.,0.9706,2025-12-31 00:00:00,Active,REC00000031
FDBK00000023,rejected,Needs more client context.,-0.1864,2025-12-31 00:00:00,Active,REC00000037
FDBK00000024,accepted,Completed with positive outcome.,0.7738,2025-12-31 00:00:00,Active,REC00000040
FDBK00000025,rejected,Completed with positive outcome.,-0.1883,2025-12-31 00:00:00,Active,REC00000042
FDBK00000026,completed,Completed with positive outcome.,0.8964,2025-12-31 00:00:00,Active,REC00000043
FDBK00000027,rejected,Advisor accepted recommendation.,-0.2854,2025-12-31 00:00:00,Active,REC00000044
FDBK00000028,rejected,Completed with positive outcome.,-0.3174,2025-12-31 00:00:00,Active,REC00000046
FDBK00000029,accepted,Advisor accepted recommendation.,0.7117,2025-12-31 00:00:00,Active,REC00000049
FDBK00000030,rejected,Not suitable for client.,-0.1788,2025-12-31 00:00:00,Active,REC00000050
FDBK00000031,completed,Not suitable for client.,0.8909,2025-12-31 00:00:00,Active,REC00000051
FDBK00000032,completed,Advisor accepted recommendation.,1.0271,2025-12-31 00:00:00,Active,REC00000052
FDBK00000033,rejected,Not suitable for client.,-0.3245,2025-12-31 00:00:00,Active,REC00000053
FDBK00000034,accepted,Not suitable for client.,0.7785,2025-12-31 00:00:00,Active,REC00000055
FDBK00000035,completed,Advisor accepted recommendation.,0.9051,2025-12-31 00:00:00,Active,REC00000058
FDBK00000036,accepted,Completed with positive outcome.,0.7057,2025-12-31 00:00:00,Active,REC00000059
FDBK00000037,completed,Not suitable for client.,1.0165,2025-12-31 00:00:00,Active,REC00000060
FDBK00000038,accepted,Completed with positive outcome.,0.7794,2025-12-31 00:00:00,Active,REC00000061
FDBK00000039,rejected,Completed with positive outcome.,-0.3146,2025-12-31 00:00:00,Active,REC00000065
FDBK00000040,accepted,Not suitable for client.,0.7631,2025-12-31 00:00:00,Active,REC00000066
FDBK00000041,accepted,Advisor accepted recommendation.,0.8264,2025-12-31 00:00:00,Active,REC00000067
FDBK00000042,accepted,Completed with positive outcome.,0.7214,2025-12-31 00:00:00,Active,REC00000070
FDBK00000043,completed,Needs more client context.,0.8861,2025-12-31 00:00:00,Active,REC00000074
FDBK00000044,accepted,Needs more client context.,0.7148,2025-12-31 00:00:00,Active,REC00000076
FDBK00000045,completed,Not suitable for client.,0.9686,2025-12-31 00:00:00,Active,REC00000077
FDBK00000046,accepted,Needs more client context.,0.6735,2025-12-31 00:00:00,Active,REC00000078
FDBK00000047,rejected,Completed with positive outcome.,-0.289,2025-12-31 00:00:00,Active,REC00000079
FDBK00000048,rejected,Not suitable for client.,-0.1884,2025-12-31 00:00:00,Active,REC00000080
FDBK00000049,accepted,Needs more client context.,0.8263,2025-12-31 00:00:00,Active,REC00000081
FDBK00000050,accepted,Not suitable for client.,0.6805,2025-12-31 00:00:00,Active,REC00000082
FDBK00000051,completed,Advisor accepted recommendation.,0.9586,2025-12-31 00:00:00,Active,REC00000083
FDBK00000052,accepted,Advisor accepted recommendation.,0.7994,2025-12-31 00:00:00,Active,REC00000087
FDBK00000053,accepted,Completed with positive outcome.,0.7114,2025-12-31 00:00:00,Active,REC00000088
FDBK00000054,accepted,Needs more client context.,0.7486,2025-12-31 00:00:00,Active,REC00000089
FDBK00000055,rejected,Not suitable for client.,-0.3275,2025-12-31 00:00:00,Active,REC00000090
FDBK00000056,completed,Completed with positive outcome.,0.9961,2025-12-31 00:00:00,Active,REC00000091
FDBK00000057,rejected,Completed with positive outcome.,-0.2253,2025-12-31 00:00:00,Active,REC00000092
FDBK00000058,completed,Advisor accepted recommendation.,1.0203,2025-12-31 00:00:00,Active,REC00000093
FDBK00000059,accepted,Completed with positive outcome.,0.8228,2025-12-31 00:00:00,Active,REC00000094
FDBK00000060,accepted,Not suitable for client.,0.8056,2025-12-31 00:00:00,Active,REC00000095
FDBK00000061,rejected,Needs more client context.,-0.2811,2025-12-31 00:00:00,Active,REC00000096
FDBK00000062,completed,Not suitable for client.,0.9711,2025-12-31 00:00:00,Active,REC00000097
FDBK00000063,rejected,Needs more client context.,-0.2131,2025-12-31 00:00:00,Active,REC00000099
FDBK00000064,accepted,Not suitable for client.,0.719,2025-12-31 00:00:00,Active,REC00000101
FDBK00000065,accepted,Completed with positive outcome.,0.7491,2025-12-31 00:00:00,Active,REC00000103
FDBK00000066,accepted,Needs more client context.,0.792,2025-12-31 00:00:00,Active,REC00000106
FDBK00000067,completed,Needs more client context.,0.9024,2025-12-31 00:00:00,Active,REC00000107
FDBK00000068,completed,Not suitable for client.,0.9354,2025-12-31 00:00:00,Active,REC00000108
FDBK00000069,rejected,Advisor accepted recommendation.,-0.2211,2025-12-31 00:00:00,Active,REC00000110
FDBK00000070,rejected,Advisor accepted recommendation.,-0.3206,2025-12-31 00:00:00,Active,REC00000111
FDBK00000071,completed,Completed with positive outcome.,1.021,2025-12-31 00:00:00,Active,REC00000113
FDBK00000072,completed,Advisor accepted recommendation.,1.0117,2025-12-31 00:00:00,Active,REC00000114
FDBK00000073,rejected,Completed with positive outcome.,-0.304,2025-12-31 00:00:00,Active,REC00000116
FDBK00000074,rejected,Completed with positive outcome.,-0.2554,2025-12-31 00:00:00,Active,REC00000120
FDBK00000075,accepted,Advisor accepted recommendation.,0.7391,2025-12-31 00:00:00,Active,REC00000122
FDBK00000076,accepted,Advisor accepted recommendation.,0.807,2025-12-31 00:00:00,Active,REC00000123
FDBK00000077,rejected,Needs more client context.,-0.3282,2025-12-31 00:00:00,Active,REC00000124
FDBK00000078,completed,Completed with positive outcome.,0.9002,2025-12-31 00:00:00,Active,REC00000128
FDBK00000079,rejected,Advisor accepted recommendation.,-0.1876,2025-12-31 00:00:00,Active,REC00000129
FDBK00000080,completed,Not suitable for client.,0.9501,2025-12-31 00:00:00,Active,REC00000130
FDBK00000081,accepted,Advisor accepted recommendation.,0.6992,2025-12-31 00:00:00,Active,REC00000135
FDBK00000082,rejected,Not suitable for client.,-0.1966,2025-12-31 00:00:00,Active,REC00000136
FDBK00000083,completed,Not suitable for client.,0.8729,2025-12-31 00:00:00,Active,REC00000137
FDBK00000084,rejected,Not suitable for client.,-0.2184,2025-12-31 00:00:00,Active,REC00000138
FDBK00000085,rejected,Needs more client context.,-0.3149,2025-12-31 00:00:00,Active,REC00000143
FDBK00000086,accepted,Advisor accepted recommendation.,0.7266,2025-12-31 00:00:00,Active,REC00000147
FDBK00000087,rejected,Advisor accepted recommendation.,-0.2448,2025-12-31 00:00:00,Active,REC00000149
FDBK00000088,completed,Not suitable for client.,0.9751,2025-12-31 00:00:00,Active,REC00000151
FDBK00000089,completed,Advisor accepted recommendation.,0.9464,2025-12-31 00:00:00,Active,REC00000153
FDBK00000090,accepted,Needs more client context.,0.7478,2025-12-31 00:00:00,Active,REC00000155
FDBK00000091,completed,Advisor accepted recommendation.,1.0283,2025-12-31 00:00:00,Active,REC00000156
FDBK00000092,accepted,Advisor accepted recommendation.,0.8074,2025-12-31 00:00:00,Active,REC00000158
FDBK00000093,rejected,Completed with positive outcome.,-0.1917,2025-12-31 00:00:00,Active,REC00000159
FDBK00000094,accepted,Completed with positive outcome.,0.7971,2025-12-31 00:00:00,Active,REC00000161
FDBK00000095,completed,Not suitable for client.,0.9468,2025-12-31 00:00:00,Active,REC00000164
FDBK00000096,rejected,Completed with positive outcome.,-0.209,2025-12-31 00:00:00,Active,REC00000165
FDBK00000097,completed,Completed with positive outcome.,0.9209,2025-12-31 00:00:00,Active,REC00000167
FDBK00000098,completed,Not suitable for client.,0.992,2025-12-31 00:00:00,Active,REC00000168
FDBK00000099,rejected,Not suitable for client.,-0.2639,2025-12-31 00:00:00,Active,REC00000170
FDBK00000100,completed,Not suitable for client.,0.9518,2025-12-31 00:00:00,Active,REC00000171
FDBK00000101,accepted,Completed with positive outcome.,0.7471,2025-12-31 00:00:00,Active,REC00000173
FDBK00000102,accepted,Completed with positive outcome.,0.7557,2025-12-31 00:00:00,Active,REC00000175
FDBK00000103,accepted,Advisor accepted recommendation.,0.7115,2025-12-31 00:00:00,Active,REC00000176
FDBK00000104,rejected,Advisor accepted recommendation.,-0.2623,2025-12-31 00:00:00,Active,REC00000177
FDBK00000105,accepted,Advisor accepted recommendation.,0.7891,2025-12-31 00:00:00,Active,REC00000180
FDBK00000106,rejected,Not suitable for client.,-0.2736,2025-12-31 00:00:00,Active,REC00000182
FDBK00000107,rejected,Advisor accepted recommendation.,-0.3072,2025-12-31 00:00:00,Active,REC00000184
FDBK00000108,completed,Needs more client context.,1.0178,2025-12-31 00:00:00,Active,REC00000185
FDBK00000109,accepted,Needs more client context.,0.7509,2025-12-31 00:00:00,Active,REC00000186
FDBK00000110,rejected,Not suitable for client.,-0.272,2025-12-31 00:00:00,Active,REC00000187
FDBK00000111,accepted,Completed with positive outcome.,0.8066,2025-12-31 00:00:00,Active,REC00000189
FDBK00000112,accepted,Completed with positive outcome.,0.7936,2025-12-31 00:00:00,Active,REC00000190
FDBK00000113,completed,Not suitable for client.,0.9152,2025-12-31 00:00:00,Active,REC00000193
FDBK00000114,accepted,Needs more client context.,0.8021,2025-12-31 00:00:00,Active,REC00000199
FDBK00000115,rejected,Needs more client context.,-0.2043,2025-12-31 00:00:00,Active,REC00000200
FDBK00000116,accepted,Advisor accepted recommendation.,0.672,2025-12-31 00:00:00,Active,REC00000201
FDBK00000117,completed,Needs more client context.,0.9834,2025-12-31 00:00:00,Active,REC00000202
FDBK00000118,accepted,Completed with positive outcome.,0.746,2025-12-31 00:00:00,Active,REC00000206
FDBK00000119,accepted,Needs more client context.,0.7657,2025-12-31 00:00:00,Active,REC00000207
FDBK00000120,rejected,Needs more client context.,-0.2365,2025-12-31 00:00:00,Active,REC00000208
FDBK00000121,accepted,Completed with positive outcome.,0.8136,2025-12-31 00:00:00,Active,REC00000211
FDBK00000122,completed,Advisor accepted recommendation.,0.93,2025-12-31 00:00:00,Active,REC00000212
FDBK00000123,rejected,Not suitable for client.,-0.3296,2025-12-31 00:00:00,Active,REC00000213
FDBK00000124,rejected,Advisor accepted recommendation.,-0.1852,2025-12-31 00:00:00,Active,REC00000215
FDBK00000125,accepted,Needs more client context.,0.7268,2025-12-31 00:00:00,Active,REC00000219
FDBK00000126,accepted,Not suitable for client.,0.8017,2025-12-31 00:00:00,Active,REC00000222
FDBK00000127,completed,Not suitable for client.,0.8939,2025-12-31 00:00:00,Active,REC00000224
FDBK00000128,completed,Completed with positive outcome.,0.9577,2025-12-31 00:00:00,Active,REC00000225
FDBK00000129,accepted,Advisor accepted recommendation.,0.7503,2025-12-31 00:00:00,Active,REC00000226
FDBK00000130,accepted,Completed with positive outcome.,0.7009,2025-12-31 00:00:00,Active,REC00000228
FDBK00000131,accepted,Needs more client context.,0.7884,2025-12-31 00:00:00,Active,REC00000230
FDBK00000132,rejected,Not suitable for client.,-0.1763,2025-12-31 00:00:00,Active,REC00000232
FDBK00000133,rejected,Needs more client context.,-0.2007,2025-12-31 00:00:00,Active,REC00000233
FDBK00000134,completed,Completed with positive outcome.,0.9794,2025-12-31 00:00:00,Active,REC00000234
FDBK00000135,rejected,Advisor accepted recommendation.,-0.3005,2025-12-31 00:00:00,Active,REC00000235
FDBK00000136,accepted,Completed with positive outcome.,0.6927,2025-12-31 00:00:00,Active,REC00000236
FDBK00000137,completed,Needs more client context.,0.9773,2025-12-31 00:00:00,Active,REC00000239
FDBK00000138,accepted,Needs more client context.,0.8167,2025-12-31 00:00:00,Active,REC00000241
FDBK00000139,rejected,Advisor accepted recommendation.,-0.3169,2025-12-31 00:00:00,Active,REC00000242
FDBK00000140,rejected,Advisor accepted recommendation.,-0.1814,2025-12-31 00:00:00,Active,REC00000244
FDBK00000141,completed,Not suitable for client.,0.9134,2025-12-31 00:00:00,Active,REC00000247
FDBK00000142,completed,Not suitable for client.,0.8739,2025-12-31 00:00:00,Active,REC00000249
FDBK00000143,completed,Completed with positive outcome.,0.8951,2025-12-31 00:00:00,Active,REC00000252
FDBK00000144,rejected,Not suitable for client.,-0.236,2025-12-31 00:00:00,Active,REC00000253
FDBK00000145,accepted,Not suitable for client.,0.7099,2025-12-31 00:00:00,Active,REC00000254
FDBK00000146,rejected,Completed with positive outcome.,-0.1846,2025-12-31 00:00:00,Active,REC00000255
FDBK00000147,rejected,Completed with positive outcome.,-0.2008,2025-12-31 00:00:00,Active,REC00000256
FDBK00000148,completed,Not suitable for client.,0.9713,2025-12-31 00:00:00,Active,REC00000257
FDBK00000149,completed,Advisor accepted recommendation.,0.9138,2025-12-31 00:00:00,Active,REC00000258
FDBK00000150,rejected,Advisor accepted recommendation.,-0.2979,2025-12-31 00:00:00,Active,REC00000261
