feedback_id,feedback_action,feedback_reason,reward_score,created_ts,status,recommendation_id
FDBK00000151,completed,Not suitable for client.,0.9844,2025-12-31 00:00:00,Active,REC00000263
FDBK00000152,rejected,Not suitable for client.,-0.3033,2025-12-31 00:00:00,Active,REC00000264
FDBK00000153,rejected,Completed with positive outcome.,-0.3205,2025-12-31 00:00:00,Active,REC00000268
FDBK00000154,accepted,Completed with positive outcome.,0.725,2025-12-31 00:00:00,Active,REC00000270
FDBK00000155,completed,Advisor accepted recommendation.,0.8914,2025-12-31 00:00:00,Active,REC00000271
FDBK00000156,rejected,Advisor accepted recommendation.,-0.2796,2025-12-31 00:00:00,Active,REC00000273
FDBK00000157,accepted,Not suitable for client.,0.7115,2025-12-31 00:00:00,Active,REC00000276
FDBK00000158,accepted,Not suitable for client.,0.7634,2025-12-31 00:00:00,Active,REC00000277
FDBK00000159,accepted,Not suitable for client.,0.6865,2025-12-31 00:00:00,Active,REC00000278
FDBK00000160,rejected,Completed with positive outcome.,-0.2619,2025-12-31 00:00:00,Active,REC00000279
FDBK00000161,rejected,Not suitable for client.,-0.1934,2025-12-31 00:00:00,Active,REC00000280
FDBK00000162,rejected,Completed with positive outcome.,-0.262,2025-12-31 00:00:00,Active,REC00000282
FDBK00000163,completed,Completed with positive outcome.,0.9767,2025-12-31 00:00:00,Active,REC00000284
FDBK00000164,accepted,Advisor accepted recommendation.,0.7041,2025-12-31 00:00:00,Active,REC00000285
FDBK00000165,completed,Not suitable for client.,0.8827,2025-12-31 00:00:00,Active,REC00000286
FDBK00000166,rejected,Not suitable for client.,-0.1842,2025-12-31 00:00:00,Active,REC00000287
FDBK00000167,accepted,Needs more client context.,0.6711,2025-12-31 00:00:00,Active,REC00000288
FDBK00000168,completed,Needs more client context.,0.8713,2025-12-31 00:00:00,Active,REC00000289
FDBK00000169,rejected,Not suitable for client.,-0.2272,2025-12-31 00:00:00,Active,REC00000290
FDBK00000170,rejected,Completed with positive outcome.,-0.2054,2025-12-31 00:00:00,Active,REC00000291
FDBK00000171,rejected,Not suitable for client.,-0.2878,2025-12-31 00:00:00,Active,REC00000294
FDBK00000172,rejected,Completed with positive outcome.,-0.2132,2025-12-31 00:00:00,Active,REC00000295
FDBK00000173,completed,Completed with positive outcome.,1.0029,2025-12-31 00:00:00,Active,REC00000298
FDBK00000174,completed,Advisor accepted recommendation.,0.9612,2025-12-31 00:00:00,Active,REC00000303
FDBK00000175,accepted,Advisor accepted recommendation.,0.7827,2025-12-31 00:00:00,Active,REC00000304
FDBK00000176,accepted,Not suitable for client.,0.7029,2025-12-31 00:00:00,Active,REC00000308
FDBK00000177,rejected,Not suitable for client.,-0.3173,2025-12-31 00:00:00,Active,REC00000309
FDBK00000178,accepted,Completed with positive outcome.,0.7173,2025-12-31 00:00:00,Active,REC00000310
FDBK00000179,accepted,Completed with positive outcome.,0.82,2025-12-31 00:00:00,Active,REC00000311
FDBK00000180,completed,Not suitable for client.,0.9378,2025-12-31 00:00:00,Active,REC00000312
FDBK00000181,accepted,Needs more client context.,0.6923,2025-12-31 00:00:00,Active,REC00000313
FDBK00000182,accepted,Completed with positive outcome.,0.8238,2025-12-31 00:00:00,Active,REC00000314
FDBK00000183,accepted,Advisor accepted recommendation.,0.7157,2025-12-31 00:00:00,Active,REC00000316
FDBK00000184,completed,Needs more client context.,0.9483,2025-12-31 00:00:00,Active,REC00000319
FDBK00000185,rejected,Completed with positive outcome.,-0.1909,2025-12-31 00:00:00,Active,REC00000320
FDBK00000186,completed,Needs more client context.,1.0268,2025-12-31 00:00:00,Active,REC00000322
FDBK00000187,accepted,Advisor accepted recommendation.,0.7387,2025-12-31 00:00:00,Active,REC00000326
FDBK00000188,rejected,Completed with positive outcome.,-0.1742,2025-12-31 00:00:00,Active,REC00000327
FDBK00000189,accepted,Completed with positive outcome.,0.8189,2025-12-31 00:00:00,Active,REC00000329
FDBK00000190,rejected,Not suitable for client.,-0.2622,2025-12-31 00:00:00,Active,REC00000330
FDBK00000191,completed,Completed with positive outcome.,0.9506,2025-12-31 00:00:00,Active,REC00000333
FDBK00000192,accepted,Needs more client context.,0.6739,2025-12-31 00:00:00,Active,REC00000334
FDBK00000193,accepted,Completed with positive outcome.,0.6969,2025-12-31 00:00:00,Active,REC00000335
FDBK00000194,rejected,Advisor accepted recommendation.,-0.2231,2025-12-31 00:00:00,Active,REC00000336
FDBK00000195,rejected,Not suitable for client.,-0.1766,2025-12-31 00:00:00,Active,REC00000338
FDBK00000196,accepted,Advisor accepted recommendation.,0.7199,2025-12-31 00:00:00,Active,REC00000339
FDBK00000197,completed,Needs more client context.,0.9023,2025-12-31 00:00:00,Active,REC00000340
FDBK00000198,completed,Not suitable for client.,0.9491,2025-12-31 00:00:00,Active,REC00000341
FDBK00000199,accepted,Advisor accepted recommendation.,0.6902,2025-12-31 00:00:00,Active,REC00000342
FDBK00000200,completed,Not suitable for client.,0.917,2025-12-31 00:00:00,Active,REC00000344
FDBK00000201,completed,Advisor accepted recommendation.,1.0212,2025-12-31 00:00:00,Active,REC00000346
FDBK00000202,accepted,Completed with positive outcome.,0.7418,2025-12-31 00:00:00,Active,REC00000347
FDBK00000203,accepted,Completed with positive outcome.,0.7271,2025-12-31 00:00:00,Active,REC00000349
FDBK00000204,rejected,Completed with positive outcome.,-0.2897,2025-12-31 00:00:00,Active,REC00000351
FDBK00000205,rejected,Not suitable for client.,-0.2563,2025-12-31 00:00:00,Active,REC00000352
FDBK00000206,accepted,Advisor accepted recommendation.,0.7032,2025-12-31 00:00:00,Active,REC00000353
FDBK00000207,completed,Completed with positive outcome.,0.9031,2025-12-31 00:00:00,Active,REC00000355
FDBK00000208,accepted,Advisor accepted recommendation.,0.8011,2025-12-31 00:00:00,Active,REC00000356
FDBK00000209,rejected,Advisor accepted recommendation.,-0.2131,2025-12-31 00:00:00,Active,REC00000357
FDBK00000210,rejected,Advisor accepted recommendation.,-0.2386,2025-12-31 00:00:00,Active,REC00000359
FDBK00000211,completed,Not suitable for client.,0.9415,2025-12-31 00:00:00,Active,REC00000361
FDBK00000212,completed,Needs more client context.,0.9984,2025-12-31 00:00:00,Active,REC00000367
FDBK00000213,accepted,Needs more client context.,0.8218,2025-12-31 00:00:00,Active,REC00000368
FDBK00000214,rejected,Advisor accepted recommendation.,-0.2411,2025-12-31 00:00:00,Active,REC00000371
FDBK00000215,rejected,Needs more client context.,-0.1723,2025-12-31 00:00:00,Active,REC00000372
FDBK00000216,completed,Advisor accepted recommendation.,0.923,2025-12-31 00:00:00,Active,REC00000373
FDBK00000217,rejected,Completed with positive outcome.,-0.1842,2025-12-31 00:00:00,Active,REC00000374
FDBK00000218,completed,Completed with positive outcome.,0.9516,2025-12-31 00:00:00,Active,REC00000375
FDBK00000219,rejected,Completed with positive outcome.,-0.284,2025-12-31 00:00:00,Active,REC00000377
FDBK00000220,rejected,Not suitable for client.,-0.1943,2025-12-31 00:00:00,Active,REC00000378
FDBK00000221,rejected,Advisor accepted recommendation.,-0.3276,2025-12-31 00:00:00,Active,REC00000379
FDBK00000222,rejected,Not suitable for client.,-0.3072,2025-12-31 00:00:00,Active,REC00000380
FDBK00000223,rejected,Completed with positive outcome.,-0.2766,2025-12-31 00:00:00,Active,REC00000381
FDBK00000224,accepted,Advisor accepted recommendation.,0.7116,2025-12-31 00:00:00,Active,REC00000382
FDBK00000225,completed,Completed with positive outcome.,0.8774,2025-12-31 00:00:00,Active,REC00000384
FDBK00000226,rejected,Completed with positive outcome.,-0.2535,2025-12-31 00:00:00,Active,REC00000385
FDBK00000227,completed,Not suitable for client.,0.9816,2025-12-31 00:00:00,Active,REC00000386
FDBK00000228,completed,Advisor accepted recommendation.,0.9747,2025-12-31 00:00:00,Active,REC00000387
FDBK00000229,accepted,Needs more client context.,0.7774,2025-12-31 00:00:00,Active,REC00000390
FDBK00000230,rejected,Completed with positive outcome.,-0.2315,2025-12-31 00:00:00,Active,REC00000391
FDBK00000231,completed,Needs more client context.,0.8823,2025-12-31 00:00:00,Active,REC00000392
FDBK00000232,rejected,Completed with positive outcome.,-0.3203,2025-12-31 00:00:00,Active,REC00000393
FDBK00000233,completed,Not suitable for client.,0.9391,2025-12-31 00:00:00,Active,REC00000394
FDBK00000234,completed,Not suitable for client.,0.9748,2025-12-31 00:00:00,Active,REC00000395
FDBK00000235,rejected,Completed with positive outcome.,-0.2668,2025-12-31 00:00:00,Active,REC00000396
FDBK00000236,completed,Completed with positive outcome.,0.8992,2025-12-31 00:00:00,Active,REC00000397
FDBK00000237,accepted,Completed with positive outcome.,0.8062,2025-12-31 00:00:00,Active,REC00000398
FDBK00000238,accepted,Needs more client context.,0.7285,2025-12-31 00:00:00,Active,REC00000400
FDBK00000239,rejected,Advisor accepted recommendation.,-0.1902,2025-12-31 00:00:00,Active,REC00000401
FDBK00000240,completed,Advisor accepted recommendation.,0.9613,2025-12-31 00:00:00,Active,REC00000402
FDBK00000241,rejected,Not suitable for client.,-0.209,2025-12-31 00:00:00,Active,REC00000405
FDBK00000242,accepted,Advisor accepted recommendation.,0.7954,2025-12-31 00:00:00,Active,REC00000407
FDBK00000243,accepted,Completed with positive outcome.,0.7696,2025-12-31 00:00:00,Active,REC00000408
FDBK00000244,rejected,Not suitable for client.,-0.3204,2025-12-31 00:00:00,Active,REC00000409
FDBK00000245,rejected,Needs more client context.,-0.3115,2025-12-31 00:00:00,Active,REC00000413
FDBK00000246,accepted,Completed with positive outcome.,0.7603,2025-12-31 00:00:00,Active,REC00000414
FDBK00000247,completed,Needs more client context.,0.9725,2025-12-31 00:00:00,Active,REC00000416
FDBK00000248,accepted,Needs more client context.,0.7387,2025-12-31 00:00:00,Active,REC00000417
FDBK00000249,accepted,Needs more client context.,0.8112,2025-12-31 00:00:00,Active,REC00000418
FDBK00000250,rejected,Advisor accepted recommendation.,-0.2091,2025-12-31 00:00:00,Active,REC00000421
FDBK00000251,completed,Advisor accepted recommendation.,0.8888,2025-12-31 00:00:00,Active,REC00000422
FDBK00000252,rejected,Not suitable for client.,-0.1988,2025-12-31 00:00:00,Active,REC00000423
FDBK00000253,completed,Needs more client context.,0.9153,2025-12-31 00:00:00,Active,REC00000424
FDBK00000254,rejected,Needs more client context.,-0.2981,2025-12-31 00:00:00,Active,REC00000425
FDBK00000255,completed,Completed with positive outcome.,0.976,2025-12-31 00:00:00,Active,REC00000427
FDBK00000256,completed,Needs more client context.,0.9752,2025-12-31 00:00:00,Active,REC00000428
FDBK00000257,rejected,Not suitable for client.,-0.2237,2025-12-31 00:00:00,Active,REC00000429
FDBK00000258,accepted,Needs more client context.,0.7342,2025-12-31 00:00:00,Active,REC00000430
FDBK00000259,completed,Completed with positive outcome.,0.9302,2025-12-31 00:00:00,Active,REC00000431
FDBK00000260,completed,Advisor accepted recommendation.,0.9529,2025-12-31 00:00:00,Active,REC00000432
FDBK00000261,accepted,Completed with positive outcome.,0.7725,2025-12-31 00:00:00,Active,REC00000436
FDBK00000262,rejected,Not suitable for client.,-0.2978,2025-12-31 00:00:00,Active,REC00000438
FDBK00000263,accepted,Not suitable for client.,0.7115,2025-12-31 00:00:00,Active,REC00000439
FDBK00000264,completed,Not suitable for client.,0.9199,2025-12-31 00:00:00,Active,REC00000440
FDBK00000265,completed,Advisor accepted recommendation.,0.8875,2025-12-31 00:00:00,Active,REC00000441
FDBK00000266,rejected,Advisor accepted recommendation.,-0.2967,2025-12-31 00:00:00,Active,REC00000442
FDBK00000267,completed,Completed with positive outcome.,0.9146,2025-12-31 00:00:00,Active,REC00000444
FDBK00000268,accepted,Completed with positive outcome.,0.8215,2025-12-31 00:00:00,Active,REC00000447
FDBK00000269,rejected,Not suitable for client.,-0.2185,2025-12-31 00:00:00,Active,REC00000448
FDBK00000270,accepted,Needs more client context.,0.7848,2025-12-31 00:00:00,Active,REC00000450
FDBK00000271,completed,Completed with positive outcome.,0.9132,2025-12-31 00:00:00,Active,REC00000457
FDBK00000272,rejected,Advisor accepted recommendation.,-0.3095,2025-12-31 00:00:00,Active,REC00000459
FDBK00000273,completed,Needs more client context.,1.0,2025-12-31 00:00:00,Active,REC00000461
FDBK00000274,rejected,Completed with positive outcome.,-0.1752,2025-12-31 00:00:00,Active,REC00000465
FDBK00000275,accepted,Completed with positive outcome.,0.7147,2025-12-31 00:00:00,Active,REC00000466
FDBK00000276,accepted,Needs more client context.,0.691,2025-12-31 00:00:00,Active,REC00000469
FDBK00000277,rejected,Advisor accepted recommendation.,-0.2488,2025-12-31 00:00:00,Active,REC00000470
FDBK00000278,rejected,Not suitable for client.,-0.2467,2025-12-31 00:00:00,Active,REC00000472
FDBK00000279,rejected,Not suitable for client.,-0.2814,2025-12-31 00:00:00,Active,REC00000473
FDBK00000280,accepted,Not suitable for client.,0.7494,2025-12-31 00:00:00,Active,REC00000477
FDBK00000281,completed,Not suitable for client.,0.9254,2025-12-31 00:00:00,Active,REC00000478
FDBK00000282,rejected,Advisor accepted recommendation.,-0.2086,2025-12-31 00:00:00,Active,REC00000479
FDBK00000283,completed,Advisor accepted recommendation.,1.0141,2025-12-31 00:00:00,Active,REC00000480
FDBK00000284,rejected,Completed with positive outcome.,-0.3076,2025-12-31 00:00:00,Active,REC00000487
FDBK00000285,completed,Completed with positive outcome.,0.9116,2025-12-31 00:00:00,Active,REC00000488
FDBK00000286,accepted,Not suitable for client.,0.7664,2025-12-31 00:00:00,Active,REC00000489
FDBK00000287,completed,Completed with positive outcome.,1.0247,2025-12-31 00:00:00,Active,REC00000492
FDBK00000288,rejected,Needs more client context.,-0.194,2025-12-31 00:00:00,Active,REC00000493
FDBK00000289,accepted,Advisor accepted recommendation.,0.6936,2025-12-31 00:00:00,Active,REC00000494
FDBK00000290,completed,Completed with positive outcome.,1.0203,2025-12-31 00:00:00,Active,REC00000495
FDBK00000291,completed,Completed with positive outcome.,0.8768,2025-12-31 00:00:00,Active,REC00000497
FDBK00000292,completed,Needs more client context.,0.8728,2025-12-31 00:00:00,Active,REC00000498
FDBK00000293,completed,Completed with positive outcome.,0.8724,2025-12-31 00:00:00,Active,REC00000499
FDBK00000294,accepted,Advisor accepted recommendation.,0.8085,2025-12-31 00:00:00,Active,REC00000502
FDBK00000295,accepted,Advisor accepted recommendation.,0.7639,2025-12-31 00:00:00,Active,REC00000503
FDBK00000296,completed,Needs more client context.,1.01,2025-12-31 00:00:00,Active,REC00000508
FDBK00000297,accepted,Advisor accepted recommendation.,0.8065,2025-12-31 00:00:00,Active,REC00000510
FDBK00000298,accepted,Not suitable for client.,0.712,2025-12-31 00:00:00,Active,REC00000512
FDBK00000299,completed,Not suitable for client.,1.0001,2025-12-31 00:00:00,Active,REC00000513
FDBK00000300,completed,Completed with positive outcome.,0.9325,2025-12-31 00:00:00,Active,REC00000515
FDBK00000301,completed,Not suitable for client.,0.8713,2025-12-31 00:00:00,Active,REC00000517
FDBK00000302,completed,Completed with positive outcome.,0.9087,2025-12-31 00:00:00,Active,REC00000518
