goal_id,goal_name,goal_type,target_value,target_unit,start_date,end_date,status,advisor_id,program_id
GOAL000098,New Households Goal for ADV0033,New Households,28,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0033,AGP2025
GOAL000099,Managed Revenue Goal for ADV0033,Managed Revenue,599019.82,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0033,AGP2025
GOAL000100,NNM Growth Goal for ADV0034,NNM Growth,1234992.52,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0034,AGP2025
GOAL000101,New Households Goal for ADV0034,New Households,24,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0034,AGP2025
GOAL000102,Managed Revenue Goal for ADV0034,Managed Revenue,756105.74,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0034,AGP2025
GOAL000103,NNM Growth Goal for ADV0035,NNM Growth,1447704.34,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0035,AGP2025
GOAL000104,New Households Goal for ADV0035,New Households,12,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0035,AGP2025
GOAL000105,Managed Revenue Goal for ADV0035,Managed Revenue,743071.54,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0035,AGP2025
GOAL000106,NNM Growth Goal for ADV0036,NNM Growth,4896434.27,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0036,AGP2025
GOAL000107,New Households Goal for ADV0036,New Households,19,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0036,AGP2025
GOAL000108,Managed Revenue Goal for ADV0036,Managed Revenue,722758.52,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0036,AGP2025
GOAL000109,NNM Growth Goal for ADV0037,NNM Growth,3532098.31,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0037,AGP2025
GOAL000110,New Households Goal for ADV0037,New Households,22,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0037,AGP2025
GOAL000111,Managed Revenue Goal for ADV0037,Managed Revenue,706540.74,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0037,AGP2025
GOAL000112,NNM Growth Goal for ADV0038,NNM Growth,1465236.97,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0038,AGP2025
GOAL000113,New Households Goal for ADV0038,New Households,14,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0038,AGP2025
GOAL000114,Managed Revenue Goal for ADV0038,Managed Revenue,887551.3,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0038,AGP2025
GOAL000115,NNM Growth Goal for ADV0039,NNM Growth,2448252.88,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0039,AGP2025
GOAL000116,New Households Goal for ADV0039,New Households,24,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0039,AGP2025
GOAL000117,Managed Revenue Goal for ADV0039,Managed Revenue,735601.78,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0039,AGP2025
GOAL000118,NNM Growth Goal for ADV0040,NNM Growth,2250257.68,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0040,AGP2025
GOAL000119,New Households Goal for ADV0040,New Households,22,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0040,AGP2025
GOAL000120,Managed Revenue Goal for ADV0040,Managed Revenue,506526.26,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0040,AGP2025
GOAL000121,NNM Growth Goal for ADV0041,NNM Growth,1599916.64,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0041,AGP2025
GOAL000122,New Households Goal for ADV0041,New Households,18,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0041,AGP2025
GOAL000123,Managed Revenue Goal for ADV0041,Managed Revenue,349293.93,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0041,AGP2025
GOAL000124,NNM Growth Goal for ADV0042,NNM Growth,1527783.41,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0042,AGP2025
GOAL000125,New Households Goal for ADV0042,New Households,13,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0042,AGP2025
GOAL000126,Managed Revenue Goal for ADV0042,Managed Revenue,862496.21,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0042,AGP2025
GOAL000127,NNM Growth Goal for ADV0043,NNM Growth,3551862.91,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0043,AGP2025
GOAL000128,New Households Goal for ADV0043,New Households,25,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0043,AGP2025
GOAL000129,Managed Revenue Goal for ADV0043,Managed Revenue,298921.44,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0043,AGP2025
GOAL000130,NNM Growth Goal for ADV0044,NNM Growth,3874001.82,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0044,AGP2025
GOAL000131,New Households Goal for ADV0044,New Households,28,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0044,AGP2025
GOAL000132,Managed Revenue Goal for ADV0044,Managed Revenue,302231.19,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0044,AGP2025
GOAL000133,NNM Growth Goal for ADV0045,NNM Growth,1702748.98,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0045,AGP2025
GOAL000134,New Households Goal for ADV0045,New Households,16,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0045,AGP2025
GOAL000135,Managed Revenue Goal for ADV0045,Managed Revenue,711753.7,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0045,AGP2025
GOAL000136,NNM Growth Goal for ADV0046,NNM Growth,4335940.65,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0046,AGP2025
GOAL000137,New Households Goal for ADV0046,New Households,25,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0046,AGP2025
GOAL000138,Managed Revenue Goal for ADV0046,Managed Revenue,459076.21,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0046,AGP2025
GOAL000139,NNM Growth Goal for ADV0047,NNM Growth,2739823.91,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0047,AGP2025
GOAL000140,New Households Goal for ADV0047,New Households,26,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0047,AGP2025
GOAL000141,Managed Revenue Goal for ADV0047,Managed Revenue,773976.22,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0047,AGP2025
GOAL000142,NNM Growth Goal for ADV0048,NNM Growth,2081088.85,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0048,AGP2025
GOAL000143,New Households Goal for ADV0048,New Households,12,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0048,AGP2025
GOAL000144,Managed Revenue Goal for ADV0048,Managed Revenue,893593.98,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0048,AGP2025
GOAL000145,NNM Growth Goal for ADV0049,NNM Growth,1329922.5,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0049,AGP2025
GOAL000146,New Households Goal for ADV0049,New Households,29,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0049,AGP2025
GOAL000147,Managed Revenue Goal for ADV0049,Managed Revenue,586075.79,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0049,AGP2025
GOAL000148,NNM Growth Goal for ADV0050,NNM Growth,2457186.24,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0050,AGP2025
GOAL000149,New Households Goal for ADV0050,New Households,21,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0050,AGP2025
GOAL000150,Managed Revenue Goal for ADV0050,Managed Revenue,814020.34,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0050,AGP2025
GOAL000151,NNM Growth Goal for ADV0051,NNM Growth,2194480.35,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0051,AGP2025
GOAL000152,New Households Goal for ADV0051,New Households,27,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0051,AGP2025
GOAL000153,Managed Revenue Goal for ADV0051,Managed Revenue,495494.95,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0051,AGP2025
GOAL000154,NNM Growth Goal for ADV0052,NNM Growth,1241496.33,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0052,AGP2025
GOAL000155,New Households Goal for ADV0052,New Households,15,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0052,AGP2025
GOAL000156,Managed Revenue Goal for ADV0052,Managed Revenue,852174.77,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0052,AGP2025
GOAL000157,NNM Growth Goal for ADV0053,NNM Growth,2827671.58,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0053,AGP2025
GOAL000158,New Households Goal for ADV0053,New Households,13,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0053,AGP2025
GOAL000159,Managed Revenue Goal for ADV0053,Managed Revenue,253980.36,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0053,AGP2025
GOAL000160,NNM Growth Goal for ADV0054,NNM Growth,1147625.23,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0054,AGP2025
GOAL000161,New Households Goal for ADV0054,New Households,18,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0054,AGP2025
GOAL000162,Managed Revenue Goal for ADV0054,Managed Revenue,206232.3,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0054,AGP2025
GOAL000163,NNM Growth Goal for ADV0055,NNM Growth,4838767.31,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0055,AGP2025
GOAL000164,New Households Goal for ADV0055,New Households,23,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0055,AGP2025
GOAL000165,Managed Revenue Goal for ADV0055,Managed Revenue,694197.57,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0055,AGP2025
GOAL000166,NNM Growth Goal for ADV0056,NNM Growth,4048179.56,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0056,AGP2025
GOAL000167,New Households Goal for ADV0056,New Households,12,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0056,AGP2025
GOAL000168,Managed Revenue Goal for ADV0056,Managed Revenue,546315.52,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0056,AGP2025
GOAL000169,NNM Growth Goal for ADV0057,NNM Growth,4558360.11,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0057,AGP2025
GOAL000170,New Households Goal for ADV0057,New Households,22,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0057,AGP2025
GOAL000171,Managed Revenue Goal for ADV0057,Managed Revenue,549732.36,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0057,AGP2025
GOAL000172,NNM Growth Goal for ADV0058,NNM Growth,1033876.63,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0058,AGP2025
GOAL000173,New Households Goal for ADV0058,New Households,24,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0058,AGP2025
GOAL000174,Managed Revenue Goal for ADV0058,Managed Revenue,735394.7,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0058,AGP2025
GOAL000175,NNM Growth Goal for ADV0059,NNM Growth,2057905.69,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0059,AGP2025
GOAL000176,New Households Goal for ADV0059,New Households,15,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0059,AGP2025
GOAL000177,Managed Revenue Goal for ADV0059,Managed Revenue,539376.34,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0059,AGP2025
GOAL000178,NNM Growth Goal for ADV0060,NNM Growth,2631146.93,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0060,AGP2025
GOAL000179,New Households Goal for ADV0060,New Households,20,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0060,AGP2025
GOAL000180,Managed Revenue Goal for ADV0060,Managed Revenue,484140.53,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0060,AGP2025
GOAL000181,NNM Growth Goal for ADV0061,NNM Growth,2640159.75,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0061,AGP2025
GOAL000182,New Households Goal for ADV0061,New Households,27,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0061,AGP2025
GOAL000183,Managed Revenue Goal for ADV0061,Managed Revenue,705620.04,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0061,AGP2025
GOAL000184,NNM Growth Goal for ADV0062,NNM Growth,4852132.09,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0062,AGP2025
GOAL000185,New Households Goal for ADV0062,New Households,15,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0062,AGP2025
GOAL000186,Managed Revenue Goal for ADV0062,Managed Revenue,708405.65,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0062,AGP2025
GOAL000187,NNM Growth Goal for ADV0063,NNM Growth,2534354.04,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0063,AGP2025
GOAL000188,New Households Goal for ADV0063,New Households,13,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0063,AGP2025
GOAL000189,Managed Revenue Goal for ADV0063,Managed Revenue,739449.25,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0063,AGP2025
GOAL000190,NNM Growth Goal for ADV0064,NNM Growth,4402646.0,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0064,AGP2025
GOAL000191,New Households Goal for ADV0064,New Households,16,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0064,AGP2025
GOAL000192,Managed Revenue Goal for ADV0064,Managed Revenue,469054.74,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0064,AGP2025
GOAL000193,NNM Growth Goal for ADV0065,NNM Growth,2779376.76,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0065,AGP2025
GOAL000194,New Households Goal for ADV0065,New Households,29,Count,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0065,AGP2025
GOAL000195,Managed Revenue Goal for ADV0065,Managed Revenue,379661.6,USD,2025-01-01 00:00:00,2025-12-31 00:00:00,Active,ADV0065,AGP2025
