learning_signal_id,signal_type,signal_value,signal_summary,created_ts,status,outcome_id,recommendation_id
LEARN00000001,Recommendation Reward,0.8732,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000001,REC00000001
LEARN00000002,Recommendation Reward,-0.2399,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000002,REC00000003
LEARN00000003,Recommendation Reward,-0.2256,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000003,REC00000004
LEARN00000004,Recommendation Reward,0.7465,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000004,REC00000005
LEARN00000005,Recommendation Reward,0.9299,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000005,REC00000008
LEARN00000006,Recommendation Reward,0.6857,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000006,REC00000010
LEARN00000007,Recommendation Reward,0.7972,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000007,REC00000011
LEARN00000008,Recommendation Reward,0.9895,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000008,REC00000012
LEARN00000009,Recommendation Reward,0.7907,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000009,REC00000014
LEARN00000010,Recommendation Reward,-0.2937,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000010,REC00000016
LEARN00000011,Recommendation Reward,0.9076,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000011,REC00000017
LEARN00000012,Recommendation Reward,0.7389,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000012,REC00000018
LEARN00000013,Recommendation Reward,0.7096,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000013,REC00000019
LEARN00000014,Recommendation Reward,1.0086,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000014,REC00000021
LEARN00000015,Recommendation Reward,0.9317,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000015,REC00000023
LEARN00000016,Recommendation Reward,0.6737,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000016,REC00000024
LEARN00000017,Recommendation Reward,0.9143,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000017,REC00000025
LEARN00000018,Recommendation Reward,0.8018,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000018,REC00000026
LEARN00000019,Recommendation Reward,1.015,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000019,REC00000027
LEARN00000020,Recommendation Reward,0.759,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000020,REC00000028
LEARN00000021,Recommendation Reward,0.825,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000021,REC00000029
LEARN00000022,Recommendation Reward,0.9706,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000022,REC00000031
LEARN00000023,Recommendation Reward,-0.1864,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000023,REC00000037
LEARN00000024,Recommendation Reward,0.7738,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000024,REC00000040
LEARN00000025,Recommendation Reward,-0.1883,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000025,REC00000042
LEARN00000026,Recommendation Reward,0.8964,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000026,REC00000043
LEARN00000027,Recommendation Reward,-0.2854,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000027,REC00000044
LEARN00000028,Recommendation Reward,-0.3174,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000028,REC00000046
LEARN00000029,Recommendation Reward,0.7117,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000029,REC00000049
LEARN00000030,Recommendation Reward,-0.1788,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000030,REC00000050
LEARN00000031,Recommendation Reward,0.8909,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000031,REC00000051
LEARN00000032,Recommendation Reward,1.0271,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000032,REC00000052
LEARN00000033,Recommendation Reward,-0.3245,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000033,REC00000053
LEARN00000034,Recommendation Reward,0.7785,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000034,REC00000055
LEARN00000035,Recommendation Reward,0.9051,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000035,REC00000058
LEARN00000036,Recommendation Reward,0.7057,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000036,REC00000059
LEARN00000037,Recommendation Reward,1.0165,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000037,REC00000060
LEARN00000038,Recommendation Reward,0.7794,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000038,REC00000061
LEARN00000039,Recommendation Reward,-0.3146,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000039,REC00000065
LEARN00000040,Recommendation Reward,0.7631,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000040,REC00000066
LEARN00000041,Recommendation Reward,0.8264,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000041,REC00000067
LEARN00000042,Recommendation Reward,0.7214,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000042,REC00000070
LEARN00000043,Recommendation Reward,0.8861,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000043,REC00000074
LEARN00000044,Recommendation Reward,0.7148,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000044,REC00000076
LEARN00000045,Recommendation Reward,0.9686,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000045,REC00000077
LEARN00000046,Recommendation Reward,0.6735,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000046,REC00000078
LEARN00000047,Recommendation Reward,-0.289,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000047,REC00000079
LEARN00000048,Recommendation Reward,-0.1884,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000048,REC00000080
LEARN00000049,Recommendation Reward,0.8263,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000049,REC00000081
LEARN00000050,Recommendation Reward,0.6805,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000050,REC00000082
LEARN00000051,Recommendation Reward,0.9586,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000051,REC00000083
LEARN00000052,Recommendation Reward,0.7994,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000052,REC00000087
LEARN00000053,Recommendation Reward,0.7114,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000053,REC00000088
LEARN00000054,Recommendation Reward,0.7486,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000054,REC00000089
LEARN00000055,Recommendation Reward,-0.3275,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000055,REC00000090
LEARN00000056,Recommendation Reward,0.9961,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000056,REC00000091
LEARN00000057,Recommendation Reward,-0.2253,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000057,REC00000092
LEARN00000058,Recommendation Reward,1.0203,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000058,REC00000093
LEARN00000059,Recommendation Reward,0.8228,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000059,REC00000094
LEARN00000060,Recommendation Reward,0.8056,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000060,REC00000095
LEARN00000061,Recommendation Reward,-0.2811,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000061,REC00000096
LEARN00000062,Recommendation Reward,0.9711,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000062,REC00000097
LEARN00000063,Recommendation Reward,-0.2131,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000063,REC00000099
LEARN00000064,Recommendation Reward,0.719,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000064,REC00000101
LEARN00000065,Recommendation Reward,0.7491,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000065,REC00000103
LEARN00000066,Recommendation Reward,0.792,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000066,REC00000106
LEARN00000067,Recommendation Reward,0.9024,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000067,REC00000107
LEARN00000068,Recommendation Reward,0.9354,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000068,REC00000108
LEARN00000069,Recommendation Reward,-0.2211,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000069,REC00000110
LEARN00000070,Recommendation Reward,-0.3206,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000070,REC00000111
LEARN00000071,Recommendation Reward,1.021,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000071,REC00000113
LEARN00000072,Recommendation Reward,1.0117,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000072,REC00000114
LEARN00000073,Recommendation Reward,-0.304,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000073,REC00000116
LEARN00000074,Recommendation Reward,-0.2554,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000074,REC00000120
LEARN00000075,Recommendation Reward,0.7391,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000075,REC00000122
LEARN00000076,Recommendation Reward,0.807,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000076,REC00000123
LEARN00000077,Recommendation Reward,-0.3282,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000077,REC00000124
LEARN00000078,Recommendation Reward,0.9002,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000078,REC00000128
LEARN00000079,Recommendation Reward,-0.1876,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000079,REC00000129
LEARN00000080,Recommendation Reward,0.9501,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000080,REC00000130
LEARN00000081,Recommendation Reward,0.6992,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000081,REC00000135
LEARN00000082,Recommendation Reward,-0.1966,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000082,REC00000136
LEARN00000083,Recommendation Reward,0.8729,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000083,REC00000137
LEARN00000084,Recommendation Reward,-0.2184,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000084,REC00000138
LEARN00000085,Recommendation Reward,-0.3149,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000085,REC00000143
LEARN00000086,Recommendation Reward,0.7266,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000086,REC00000147
LEARN00000087,Recommendation Reward,-0.2448,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000087,REC00000149
LEARN00000088,Recommendation Reward,0.9751,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000088,REC00000151
LEARN00000089,Recommendation Reward,0.9464,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000089,REC00000153
LEARN00000090,Recommendation Reward,0.7478,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000090,REC00000155
LEARN00000091,Recommendation Reward,1.0283,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000091,REC00000156
LEARN00000092,Recommendation Reward,0.8074,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000092,REC00000158
LEARN00000093,Recommendation Reward,-0.1917,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000093,REC00000159
LEARN00000094,Recommendation Reward,0.7971,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000094,REC00000161
LEARN00000095,Recommendation Reward,0.9468,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000095,REC00000164
LEARN00000096,Recommendation Reward,-0.209,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000096,REC00000165
LEARN00000097,Recommendation Reward,0.9209,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000097,REC00000167
LEARN00000098,Recommendation Reward,0.992,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000098,REC00000168
LEARN00000099,Recommendation Reward,-0.2639,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000099,REC00000170
LEARN00000100,Recommendation Reward,0.9518,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000100,REC00000171
LEARN00000101,Recommendation Reward,0.7471,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000101,REC00000173
LEARN00000102,Recommendation Reward,0.7557,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000102,REC00000175
LEARN00000103,Recommendation Reward,0.7115,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000103,REC00000176
LEARN00000104,Recommendation Reward,-0.2623,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000104,REC00000177
LEARN00000105,Recommendation Reward,0.7891,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000105,REC00000180
LEARN00000106,Recommendation Reward,-0.2736,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000106,REC00000182
LEARN00000107,Recommendation Reward,-0.3072,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000107,REC00000184
LEARN00000108,Recommendation Reward,1.0178,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000108,REC00000185
LEARN00000109,Recommendation Reward,0.7509,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000109,REC00000186
LEARN00000110,Recommendation Reward,-0.272,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000110,REC00000187
LEARN00000111,Recommendation Reward,0.8066,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000111,REC00000189
LEARN00000112,Recommendation Reward,0.7936,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000112,REC00000190
LEARN00000113,Recommendation Reward,0.9152,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000113,REC00000193
LEARN00000114,Recommendation Reward,0.8021,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000114,REC00000199
LEARN00000115,Recommendation Reward,-0.2043,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000115,REC00000200
LEARN00000116,Recommendation Reward,0.672,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000116,REC00000201
LEARN00000117,Recommendation Reward,0.9834,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000117,REC00000202
LEARN00000118,Recommendation Reward,0.746,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000118,REC00000206
LEARN00000119,Recommendation Reward,0.7657,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000119,REC00000207
LEARN00000120,Recommendation Reward,-0.2365,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000120,REC00000208
LEARN00000121,Recommendation Reward,0.8136,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000121,REC00000211
LEARN00000122,Recommendation Reward,0.93,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000122,REC00000212
LEARN00000123,Recommendation Reward,-0.3296,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000123,REC00000213
LEARN00000124,Recommendation Reward,-0.1852,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000124,REC00000215
LEARN00000125,Recommendation Reward,0.7268,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000125,REC00000219
LEARN00000126,Recommendation Reward,0.8017,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000126,REC00000222
LEARN00000127,Recommendation Reward,0.8939,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000127,REC00000224
LEARN00000128,Recommendation Reward,0.9577,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000128,REC00000225
LEARN00000129,Recommendation Reward,0.7503,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000129,REC00000226
LEARN00000130,Recommendation Reward,0.7009,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000130,REC00000228
LEARN00000131,Recommendation Reward,0.7884,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000131,REC00000230
LEARN00000132,Recommendation Reward,-0.1763,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000132,REC00000232
LEARN00000133,Recommendation Reward,-0.2007,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000133,REC00000233
LEARN00000134,Recommendation Reward,0.9794,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000134,REC00000234
LEARN00000135,Recommendation Reward,-0.3005,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000135,REC00000235
LEARN00000136,Recommendation Reward,0.6927,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000136,REC00000236
LEARN00000137,Recommendation Reward,0.9773,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000137,REC00000239
LEARN00000138,Recommendation Reward,0.8167,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000138,REC00000241
LEARN00000139,Recommendation Reward,-0.3169,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000139,REC00000242
LEARN00000140,Recommendation Reward,-0.1814,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000140,REC00000244
LEARN00000141,Recommendation Reward,0.9134,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000141,REC00000247
LEARN00000142,Recommendation Reward,0.8739,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000142,REC00000249
LEARN00000143,Recommendation Reward,0.8951,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000143,REC00000252
LEARN00000144,Recommendation Reward,-0.236,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000144,REC00000253
LEARN00000145,Recommendation Reward,0.7099,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000145,REC00000254
LEARN00000146,Recommendation Reward,-0.1846,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000146,REC00000255
LEARN00000147,Recommendation Reward,-0.2008,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000147,REC00000256
LEARN00000148,Recommendation Reward,0.9713,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000148,REC00000257
LEARN00000149,Recommendation Reward,0.9138,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000149,REC00000258
LEARN00000150,Recommendation Reward,-0.2979,Feedback updated recommendation ranking weight.,2025-12-31 00:00:00,Active,OUT00000150,REC00000261
